targets,layer,filename_conf,filename_prep,isequal
pressure,t_whale_watching,t_whale_watching_mhi2017.csv,NA,NA
pressure,t_swimming,t_swimming_mhi2017.csv,NA,NA
pressure,t_kayaking,t_kayaking_mhi2017.csv,NA,NA
pressure,t_boarding,t_boarding_mhi2017.csv,NA,NA
pressure,t_snorkel_scuba,t_snorkel_scuba_mhi2017.csv,NA,NA
pressure,t_thrill_craft,t_thrill_craft_mhi2017.csv,NA,NA
pressure resilience,element_wts_cp_km2_x_protection,element_wts_cp_km2_x_protection_mhi2017.csv,NA,NA
pressure resilience,element_wts_cs_km2_x_storage,element_wts_cs_km2_x_storage_mhi2017.csv,NA,NA
resilience,fp_mpa_coast,fp_mpa_coast_gl2016.csv,NA,NA
resilience,fp_mpa_eez,fp_mpa_eez_gl2016.csv,fp_MPA_eez_mhi2017.csv,FALSE
resilience,g_mariculture,g_mariculture_gl2016.csv,NA,NA
resilience,g_msi_gov,g_msi_gov_gl2016.csv,NA,NA
resilience,g_tourism,g_tourism_gl2016.csv,NA,NA
resilience,hd_mpa_coast,hd_mpa_coast_gl2016.csv,NA,NA
resilience,hd_mpa_eez,hd_mpa_eez_gl2016.csv,hd_MPA_eez_mhi2017.csv,FALSE
resilience,li_gci,li_gci_gl2016.csv,NA,NA
resilience,li_sector_evenness,li_sector_evenness_gl2016.csv,need to put in local data layer for this,FALSE
resilience,species_diversity_eez,species_diversity_eez_gl2016.csv,NA,NA
resilience,fp_MPA_eez,fp_MPA_eez_mhi2017.csv,NA,NA
resilience,hd_MPA_eez,hd_MPA_eez_mhi2017.csv,NA,NA
spatial,rgn_area,rgn_area.csv,NA,NA
AO,ao_access_mhi2017,ao_access_mhi2017.csv,NA,NA
AO,ao_need,ao_need_mhi2017.csv,NA,NA
AO,ao_residents,ao_residents_mhi2017.csv,NA,NA
CW,cw_chemical_trend,cw_chemical_trend_gl2016.csv,NA,NA
CW,cw_nutrient_trend,cw_nutrient_trend_gl2016.csv,NA,NA
CW,cw_pathogen_trend,cw_pathogen_trend_gl2016.csv,NA,NA
CW,cw_trash_trend,cw_trash_trend_gl2016.csv,NA,NA
CW pressure,po_chemicals_3nm,po_chemicals_3nm_gl2016.csv,NA,NA
CW pressure,po_nutrients_3nm,po_nutrients_3nm_gl2016.csv,NA,NA
CW pressure,po_pathogens,po_pathogens_gl2016.csv,NA,NA
CW pressure,po_trash,po_trash_gl2016.csv,NA,NA
CW pressure,cw_po_lbsp_nosds_bil,po_lbsp_nosds_bil_mhi2017.csv,NA,NA
CW pressure,cw_po_lbsp_sed,po_lbsp_sed_mhi2017.csv,NA,NA
CW pressure,cw_po_lbspaggolfrunoff,po_lbspaggolfrunoff_mhi2017.csv,NA,NA
