"goal","dimension","region_id","score"
"AO","future",0,46.36
"AO","future",1,35.27
"AO","future",2,44.95
"AO","future",3,51.98
"AO","future",4,53.24
"AO","pressures",1,26.58
"AO","pressures",2,32.91
"AO","pressures",3,38.03
"AO","pressures",4,31.86
"AO","resilience",1,90.84
"AO","resilience",2,82.4
"AO","resilience",3,74.78
"AO","resilience",4,64.14
"AO","score",0,43.19
"AO","score",1,32.01
"AO","score",2,41.86
"AO","score",3,48.6
"AO","score",4,50.27
"AO","status",0,40.01
"AO","status",1,28.76
"AO","status",2,38.77
"AO","status",3,45.22
"AO","status",4,47.29
"AO","trend",1,0.02
"AO","trend",2,-0.01
"AO","trend",3,0.04
"AO","trend",4,0.03
"BD","future",0,78.59
"BD","future",1,81.85
"BD","future",2,78.15
"BD","future",3,72.11
"BD","future",4,82.26
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","score",0,73.9
"BD","score",1,76.37
"BD","score",2,73.24
"BD","score",3,68.08
"BD","score",4,77.91
"BD","status",0,69.21
"BD","status",1,70.88
"BD","status",2,68.33
"BD","status",3,64.06
"BD","status",4,73.56
"BD","trend",1,-0.06
"BD","trend",2,-0.03
"BD","trend",3,-0.03
"BD","trend",4,-0.02
"CP","future",0,66.57
"CP","future",1,81.8
"CP","future",2,65.52
"CP","future",3,61.17
"CP","future",4,57.82
"CP","pressures",1,30.04
"CP","pressures",2,31.99
"CP","pressures",3,37.54
"CP","pressures",4,30.95
"CP","resilience",1,87.89
"CP","resilience",2,81.11
"CP","resilience",3,72.43
"CP","resilience",4,61.6
"CP","score",0,66.51
"CP","score",1,80.19
"CP","score",2,64.91
"CP","score",3,61.96
"CP","score",4,58.98
"CP","status",0,66.45
"CP","status",1,78.58
"CP","status",2,64.3
"CP","status",3,62.75
"CP","status",4,60.15
"CP","trend",1,-0.22
"CP","trend",2,-0.21
"CP","trend",3,-0.21
"CP","trend",4,-0.21
"CS","future",0,
"CS","future",1,
"CS","future",2,
"CS","future",3,
"CS","future",4,
"CS","pressures",1,27.84
"CS","pressures",2,28.95
"CS","pressures",3,35.45
"CS","pressures",4,27.75
"CS","resilience",1,87.68
"CS","resilience",2,79.8
"CS","resilience",3,71.9
"CS","resilience",4,61.11
"CS","score",0,
"CS","score",1,
"CS","score",2,
"CS","score",3,
"CS","score",4,
"CS","status",0,
"CS","status",1,
"CS","status",2,
"CS","status",3,
"CS","status",4,
"CS","trend",1,
"CS","trend",2,
"CS","trend",3,
"CS","trend",4,
"CW","future",0,
"CW","future",1,
"CW","future",2,
"CW","future",3,
"CW","future",4,
"CW","pressures",1,23
"CW","pressures",2,30.47
"CW","pressures",3,37.24
"CW","pressures",4,30.53
"CW","resilience",1,86.47
"CW","resilience",2,79.56
"CW","resilience",3,66.3
"CW","resilience",4,54.99
"CW","score",0,
"CW","score",1,
"CW","score",2,
"CW","score",3,
"CW","score",4,
"CW","status",0,
"CW","status",1,
"CW","status",2,
"CW","status",3,
"CW","status",4,
"CW","trend",1,
"CW","trend",2,
"CW","trend",3,
"CW","trend",4,
"ECO","future",0,87.88
"ECO","future",1,100
"ECO","future",2,51.52
"ECO","future",3,100
"ECO","future",4,100
"ECO","pressures",1,18.87
"ECO","pressures",2,18.93
"ECO","pressures",3,22.28
"ECO","pressures",4,18.96
"ECO","resilience",1,68.37
"ECO","resilience",2,75.04
"ECO","resilience",3,64.51
"ECO","resilience",4,66.78
"ECO","score",0,93.94
"ECO","score",1,100
"ECO","score",2,75.76
"ECO","score",3,100
"ECO","score",4,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","trend",1,1
"ECO","trend",2,-1
"ECO","trend",3,1
"ECO","trend",4,1
"FIS","future",0,100
"FIS","future",1,100
"FIS","future",2,100
"FIS","future",3,100
"FIS","future",4,100
"FIS","pressures",1,30.89
"FIS","pressures",2,30.38
"FIS","pressures",3,33.06
"FIS","pressures",4,31.75
"FIS","resilience",1,64.84
"FIS","resilience",2,74.52
"FIS","resilience",3,65.03
"FIS","resilience",4,64.51
"FIS","score",0,96.66
"FIS","score",1,96.35
"FIS","score",2,96.3
"FIS","score",3,96.6
"FIS","score",4,97.4
"FIS","status",0,93.33
"FIS","status",1,92.7
"FIS","status",2,92.6
"FIS","status",3,93.2
"FIS","status",4,94.8
"FIS","trend",1,-0.01
"FIS","trend",2,-0.01
"FIS","trend",3,-0.01
"FIS","trend",4,-0.02
"FP","future",0,85.63
"FP","future",1,93.67
"FP","future",2,82.47
"FP","future",3,78.09
"FP","future",4,88.29
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",3,
"FP","pressures",4,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",3,
"FP","resilience",4,
"FP","score",0,82.15
"FP","score",1,88.73
"FP","score",2,77.96
"FP","score",3,75.63
"FP","score",4,86.27
"FP","status",0,78.66
"FP","status",1,83.79
"FP","status",2,73.45
"FP","status",3,73.18
"FP","status",4,84.24
"FP","trend",1,-0.02
"FP","trend",2,0.06
"FP","trend",3,-0.07
"FP","trend",4,-0.07
"HAB","future",0,69.22
"HAB","future",1,69.24
"HAB","future",2,70.29
"HAB","future",3,64.89
"HAB","future",4,72.45
"HAB","pressures",1,29.84
"HAB","pressures",2,30.12
"HAB","pressures",3,32.72
"HAB","pressures",4,30.21
"HAB","resilience",1,88.3
"HAB","resilience",2,83.58
"HAB","resilience",3,78.85
"HAB","resilience",4,71.17
"HAB","score",0,65.86
"HAB","score",1,65.87
"HAB","score",2,66.02
"HAB","score",3,62.07
"HAB","score",4,69.47
"HAB","status",0,62.5
"HAB","status",1,62.5
"HAB","status",2,61.75
"HAB","status",3,59.25
"HAB","status",4,66.5
"HAB","trend",1,-0.13
"HAB","trend",2,-0.06
"HAB","trend",3,-0.09
"HAB","trend",4,-0.07
"ICO","future",0,
"ICO","future",1,
"ICO","future",2,
"ICO","future",3,
"ICO","future",4,
"ICO","pressures",1,16.24
"ICO","pressures",2,15.93
"ICO","pressures",3,32.05
"ICO","pressures",4,17.26
"ICO","resilience",1,76.43
"ICO","resilience",2,74.75
"ICO","resilience",3,68.18
"ICO","resilience",4,63.01
"ICO","score",0,
"ICO","score",1,
"ICO","score",2,
"ICO","score",3,
"ICO","score",4,
"ICO","status",0,
"ICO","status",1,
"ICO","status",2,
"ICO","status",3,
"ICO","status",4,
"ICO","trend",1,
"ICO","trend",2,
"ICO","trend",3,
"ICO","trend",4,
"Index","future",0,75.31
"Index","future",1,79.23
"Index","future",2,74.43
"Index","future",3,72.22
"Index","future",4,75.35
"Index","score",0,72.6
"Index","score",1,76.09
"Index","score",2,73.4
"Index","score",3,69.15
"Index","score",4,71.77
"LE","future",0,93.94
"LE","future",1,100
"LE","future",2,75.76
"LE","future",3,100
"LE","future",4,100
"LE","pressures",1,
"LE","pressures",2,
"LE","pressures",3,
"LE","pressures",4,
"LE","resilience",1,
"LE","resilience",2,
"LE","resilience",3,
"LE","resilience",4,
"LE","score",0,91.82
"LE","score",1,95.13
"LE","score",2,84.53
"LE","score",3,94.89
"LE","score",4,92.75
"LE","status",0,89.71
"LE","status",1,90.25
"LE","status",2,93.31
"LE","status",3,89.78
"LE","status",4,85.5
"LE","trend",1,0.79
"LE","trend",2,-0.21
"LE","trend",3,0.78
"LE","trend",4,0.79
"LIV","future",0,100
"LIV","future",1,100
"LIV","future",2,100
"LIV","future",3,100
"LIV","future",4,100
"LIV","pressures",1,17.75
"LIV","pressures",2,18.02
"LIV","pressures",3,20.51
"LIV","pressures",4,17.96
"LIV","resilience",1,48.93
"LIV","resilience",2,54.01
"LIV","resilience",3,47.11
"LIV","resilience",4,49.32
"LIV","score",0,89.71
"LIV","score",1,90.25
"LIV","score",2,93.31
"LIV","score",3,89.78
"LIV","score",4,85.5
"LIV","status",0,79.42
"LIV","status",1,80.51
"LIV","status",2,86.61
"LIV","status",3,79.56
"LIV","status",4,70.99
"LIV","trend",1,0.57
"LIV","trend",2,0.58
"LIV","trend",3,0.55
"LIV","trend",4,0.58
"LSP","future",0,99.91
"LSP","future",1,100
"LSP","future",2,100
"LSP","future",3,100
"LSP","future",4,99.64
"LSP","pressures",1,23.34
"LSP","pressures",2,28.43
"LSP","pressures",3,33.63
"LSP","pressures",4,28.71
"LSP","resilience",1,82.72
"LSP","resilience",2,81.24
"LSP","resilience",3,69.08
"LSP","resilience",4,63.19
"LSP","score",0,94.13
"LSP","score",1,100
"LSP","score",2,100
"LSP","score",3,89
"LSP","score",4,87.52
"LSP","status",0,88.35
"LSP","status",1,100
"LSP","status",2,100
"LSP","status",3,78.01
"LSP","status",4,75.4
"LSP","trend",1,0.31
"LSP","trend",2,0.31
"LSP","trend",3,0.31
"LSP","trend",4,0.31
"MAR","future",0,56.96
"MAR","future",1,81.01
"MAR","future",2,47.51
"MAR","future",3,34.43
"MAR","future",4,64.89
"MAR","pressures",1,17.35
"MAR","pressures",2,14.49
"MAR","pressures",3,20.43
"MAR","pressures",4,14.99
"MAR","resilience",1,93.95
"MAR","resilience",2,76.84
"MAR","resilience",3,72.38
"MAR","resilience",4,58.48
