"goal","dimension","region_id","score"
"AO","future",0,81.62
"AO","future",1,91.45
"AO","future",2,83.24
"AO","future",3,64.06
"AO","future",4,87.74
"AO","pressures",1,36.96
"AO","pressures",2,41.23
"AO","pressures",3,46.04
"AO","pressures",4,39.98
"AO","resilience",1,57.88
"AO","resilience",2,69.17
"AO","resilience",3,52.22
"AO","resilience",4,51.94
"AO","score",0,79.09
"AO","score",1,88.11
"AO","score",2,80.03
"AO","score",3,62.72
"AO","score",4,85.49
"AO","status",0,76.55
"AO","status",1,84.78
"AO","status",2,76.81
"AO","status",3,61.37
"AO","status",4,83.23
"AO","trend",1,0.01
"AO","trend",2,-0.01
"AO","trend",3,0.04
"AO","trend",4,0.02
"BD","future",0,69.56
"BD","future",1,66.92
"BD","future",2,74.48
"BD","future",3,59.02
"BD","future",4,77.84
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","score",0,67.09
"BD","score",1,64.64
"BD","score",2,71.29
"BD","score",3,57.04
"BD","score",4,75.39
"BD","status",0,64.62
"BD","status",1,62.37
"BD","status",2,68.11
"BD","status",3,55.06
"BD","status",4,72.94
"BD","trend",1,-0.06
"BD","trend",2,-0.04
"BD","trend",3,-0.03
"BD","trend",4,-0.02
"CON","future",0,84.83
"CON","future",1,85.63
"CON","future",2,85.18
"CON","future",3,82.59
"CON","future",4,85.9
"CON","pressures",1,70.93
"CON","pressures",2,79.73
"CON","pressures",3,82.13
"CON","pressures",4,77.6
"CON","resilience",1,59.45
"CON","resilience",2,57.26
"CON","resilience",3,51.15
"CON","resilience",4,51.5
"CON","score",0,88.29
"CON","score",1,87.31
"CON","score",2,88.59
"CON","score",3,87.3
"CON","score",4,89.95
"CON","status",0,91.75
"CON","status",1,89
"CON","status",2,92
"CON","status",3,92
"CON","status",4,94
"CON","trend",1,0
"CON","trend",2,0
"CON","trend",3,0
"CON","trend",4,0
"CP","future",0,47.15
"CP","future",1,42.2
"CP","future",2,52.9
"CP","future",3,39.19
"CP","future",4,54.3
"CP","pressures",1,38.27
"CP","pressures",2,39.13
"CP","pressures",3,47.62
"CP","pressures",4,38.27
"CP","resilience",1,62.85
"CP","resilience",2,74.81
"CP","resilience",3,57.7
"CP","resilience",4,53.99
"CP","score",0,48.49
"CP","score",1,43.43
"CP","score",2,53.11
"CP","score",3,41.1
"CP","score",4,56.32
"CP","status",0,49.83
"CP","status",1,44.67
"CP","status",2,53.33
"CP","status",3,43
"CP","status",4,58.33
"CP","trend",1,-0.2
"CP","trend",2,-0.19
"CP","trend",3,-0.18
"CP","trend",4,-0.18
"CS","pressures",1,24.46
"CS","pressures",2,32.8
"CS","pressures",3,48.9
"CS","pressures",4,35.74
"CS","resilience",1,63.56
"CS","resilience",2,73.15
"CS","resilience",3,58.22
"CS","resilience",4,55.08
"CW","pressures",1,43.52
"CW","pressures",2,53.73
"CW","pressures",3,55.98
"CW","pressures",4,51.73
"CW","resilience",1,57.99
"CW","resilience",2,86.29
"CW","resilience",3,46.54
"CW","resilience",4,50.82
"ECO","future",0,85.74
"ECO","future",1,100
"ECO","future",2,42.96
"ECO","future",3,100
"ECO","future",4,100
"ECO","pressures",1,28.24
"ECO","pressures",2,31.04
"ECO","pressures",3,30.43
"ECO","pressures",4,31.09
"ECO","resilience",1,51.82
"ECO","resilience",2,61.21
"ECO","resilience",3,48.06
"ECO","resilience",4,47.86
"ECO","score",0,92.87
"ECO","score",1,100
"ECO","score",2,71.48
"ECO","score",3,100
"ECO","score",4,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","trend",1,1
"ECO","trend",2,-1
"ECO","trend",3,1
"ECO","trend",4,1
"FIS","future",0,86.15
"FIS","future",1,88.14
"FIS","future",2,82.18
"FIS","future",3,83.61
"FIS","future",4,90.67
"FIS","pressures",1,39.74
"FIS","pressures",2,41.21
"FIS","pressures",3,45.15
"FIS","pressures",4,41.94
"FIS","resilience",1,55.93
"FIS","resilience",2,66.17
"FIS","resilience",3,54.17
"FIS","resilience",4,54.81
"FIS","score",0,85.1
"FIS","score",1,86.87
"FIS","score",2,80.99
"FIS","score",3,82.96
"FIS","score",4,89.58
"FIS","status",0,84.05
"FIS","status",1,85.6
"FIS","status",2,79.8
"FIS","status",3,82.3
"FIS","status",4,88.5
"FIS","trend",1,-0.04
"FIS","trend",2,-0.08
"FIS","trend",3,-0.02
"FIS","trend",4,-0.03
"FP","future",0,79.3
"FP","future",1,90.33
"FP","future",2,68.5
"FP","future",3,68.25
"FP","future",4,90.1
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",3,
"FP","pressures",4,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",3,
"FP","resilience",4,
"FP","score",0,77.38
"FP","score",1,87.06
"FP","score",2,67
"FP","score",3,67.42
"FP","score",4,88.05
"FP","status",0,75.47
"FP","status",1,83.79
"FP","status",2,65.49
"FP","status",3,66.59
"FP","status",4,86
"FP","trend",1,-0.02
"FP","trend",2,-0.04
"FP","trend",3,-0.01
"FP","trend",4,-0.01
"HAB","future",0,58.62
"HAB","future",1,49.63
"HAB","future",2,70.17
"HAB","future",3,44.98
"HAB","future",4,69.7
"HAB","pressures",1,31.48
"HAB","pressures",2,35.72
"HAB","pressures",3,40.11
"HAB","pressures",4,37.84
"HAB","resilience",1,62.99
"HAB","resilience",2,74.22
"HAB","resilience",3,60.94
"HAB","resilience",4,57.26
"HAB","score",0,57.59
"HAB","score",1,49.19
"HAB","score",2,67.33
"HAB","score",3,44.74
"HAB","score",4,69.1
"HAB","status",0,56.56
"HAB","status",1,48.75
"HAB","status",2,64.5
"HAB","status",3,44.5
"HAB","status",4,68.5
"HAB","trend",1,-0.13
"HAB","trend",2,-0.06
"HAB","trend",3,-0.09
"HAB","trend",4,-0.07
"Index","future",0,70.66
"Index","future",1,76.14
"Index","future",2,72.44
"Index","future",3,61.28
"Index","future",4,72.79
"Index","score",0,70.71
"Index","score",1,75.11
"Index","score",2,73.11
"Index","score",3,61.78
"Index","score",4,72.84
"LE","future",0,86.21
"LE","future",1,95.54
"LE","future",2,71.48
"LE","future",3,88.27
"LE","future",4,89.57
"LE","pressures",1,
"LE","pressures",2,
"LE","pressures",3,
"LE","pressures",4,
"LE","resilience",1,
"LE","resilience",2,
"LE","resilience",3,
"LE","resilience",4,
"LE","score",0,89.05
"LE","score",1,94.93
"LE","score",2,84.46
"LE","score",3,87.99
