year,rgn_id,value,commodity
2002,1,6,finfish
2007,1,6,finfish
2012,1,10,finfish
2002,1,3,shellfish
2007,1,6,shellfish
2012,1,7,shellfish
2002,2,3,finfish
2012,2,7,finfish
2002,2,2,shellfish
2007,2,1,shellfish
2012,2,3,shellfish
2002,3,15,finfish
2007,3,18,finfish
2012,3,17,finfish
2002,3,8,shellfish
2007,3,6,shellfish
2012,3,6,shellfish
2007,4,2,finfish
2002,4,1,shellfish
2007,4,1,shellfish
2012,4,1,shellfish
2012,4,0,finfish
2008,1,,finfish
2008,2,,finfish
2008,3,,finfish
2008,4,,finfish
2009,1,,finfish
2009,2,,finfish
2009,3,,finfish
2009,4,,finfish
2010,1,,finfish
2010,2,,finfish
2010,3,,finfish
2010,4,,finfish
2011,1,,finfish
2011,2,,finfish
2011,3,,finfish
2011,4,,finfish
2008,1,,shellfish
2008,2,,shellfish
2008,3,,shellfish
2008,4,,shellfish
2009,1,,shellfish
2009,2,,shellfish
2009,3,,shellfish
2009,4,,shellfish
2010,1,,shellfish
2010,2,,shellfish
2010,3,,shellfish
2010,4,,shellfish
2011,1,,shellfish
2011,2,,shellfish
2011,3,,shellfish
2011,4,,shellfish
