year,rgn_id,commodity,value
2012,1,CRUSTACEANS,4
2007,1,CRUSTACEANS,2
2002,1,CRUSTACEANS,2
2012,1,FOOD FISH,10
2007,1,FOOD FISH,6
2002,1,FOOD FISH,6
2012,1,MOLLUSKS,3
2007,1,MOLLUSKS,4
2002,1,MOLLUSKS,1
2012,3,CRUSTACEANS,6
2007,3,CRUSTACEANS,6
2002,3,CRUSTACEANS,6
2012,3,FOOD FISH,17
2007,3,FOOD FISH,18
2002,3,FOOD FISH,15
2002,3,MOLLUSKS,2
2012,4,CRUSTACEANS,1
2007,4,CRUSTACEANS,1
2002,4,CRUSTACEANS,1
2007,4,FOOD FISH,2
2012,2,CRUSTACEANS,2
2007,2,CRUSTACEANS,1
2002,2,CRUSTACEANS,2
2012,2,FOOD FISH,7
2002,2,FOOD FISH,3
2012,2,MOLLUSKS,1
