rgn_id,Potential CBSFA Communities,Active Fishponds,conservation_connection_sites_maouli_makai,total,total,res_score
1,7,16,15,38,23,1
2,11,7,20,38,18,0.782608696
3,5,12,65,82,17,0.739130435
4,4,8,12,24,12,0.52173913
