rgn_id,historic_sites,year
1,98,2008
1,107,2009
1,109,2010
1,109,2010
1,109,2011
1,111,2012
2,93,2008
2,93,2009
2,95,2010
2,95,2010
2,96,2011
2,96,2012
3,234,2008
3,244,2009
3,263,2010
3,263,2010
3,275,2011
3,294,2012
4,40,2008
4,41,2009
4,41,2010
4,41,2010
4,41,2011
4,41,2012
