region_id,region_name,flower_png
0,Main Hawaiian Islands,reports/figures/flower_Main_Hawaiian_Islands.png
1,Hawaii,reports/figures/flower_Hawaii.png
2,Maui Nui,reports/figures/flower_Maui_Nui.png
3,Oahu,reports/figures/flower_Oahu.png
4,Kauai & Niihau,reports/figures/flower_Kauai_&_Niihau.png
