GeoID, GeoName, Year, OceanSectorId, OceanSector, Establishments, Employment, Wages, GDP
"15001","Hawaii, HI","2013","1","Marine Construction","-9999","-9999","-9999","-9999"
"15001","Hawaii, HI","2013","2","Living Resources","12","76","3293000","8748000"
"15001","Hawaii, HI","2013","3","Offshore Mineral Extraction","-9999","-9999","-9999","-9999"
"15001","Hawaii, HI","2013","4","Ship and Boat Building","-9999","-9999","-9999","-9999"
"15001","Hawaii, HI","2013","5","Tourism and Recreation","537","11340","333060000","741923000"
"15001","Hawaii, HI","2013","6","Marine Transportation","-9999","-9999","-9999","-9999"
"15001","Hawaii, HI","2013","9","All Ocean Sectors","564","11416","336353000","750671000"
"15003","Honolulu, HI","2013","1","Marine Construction","23","477","43453000","88569000"
"15003","Honolulu, HI","2013","2","Living Resources","98","459","14190000","44595000"
"15003","Honolulu, HI","2013","3","Offshore Mineral Extraction","-9999","-9999","-9999","-9999"
"15003","Honolulu, HI","2013","4","Ship and Boat Building","25","4323","368625000","80281000"
"15003","Honolulu, HI","2013","5","Tourism and Recreation","2257","41751","817893000","1487834000"
"15003","Honolulu, HI","2013","6","Marine Transportation","69","1926","152949000","304802000"
"15003","Honolulu, HI","2013","9","All Ocean Sectors","2479","48936","1397111000","2006082000"
"15005","Kalawao, HI","2013","1","Marine Construction","0","0","0","0"
"15005","Kalawao, HI","2013","2","Living Resources","0","0","0","0"
"15005","Kalawao, HI","2013","3","Offshore Mineral Extraction","0","0","0","0"
"15005","Kalawao, HI","2013","4","Ship and Boat Building","0","0","0","0"
"15005","Kalawao, HI","2013","5","Tourism and Recreation","0","0","0","0"
"15005","Kalawao, HI","2013","6","Marine Transportation","0","0","0","0"
"15005","Kalawao, HI","2013","9","All Ocean Sectors","0","0","0","0"
"15007","Kauai, HI","2013","1","Marine Construction","-9999","-9999","-9999","-9999"
"15007","Kauai, HI","2013","2","Living Resources","-9999","-9999","-9999","-9999"
"15007","Kauai, HI","2013","3","Offshore Mineral Extraction","0","0","0","0"
"15007","Kauai, HI","2013","4","Ship and Boat Building","0","0","0","0"
"15007","Kauai, HI","2013","5","Tourism and Recreation","298","4391","89031000","165068000"
"15007","Kauai, HI","2013","6","Marine Transportation","-9999","-9999","-9999","-9999"
"15007","Kauai, HI","2013","9","All Ocean Sectors","314","4391","89031000","165068000"
"15009","Maui, HI","2013","1","Marine Construction","-9999","-9999","-9999","-9999"
"15009","Maui, HI","2013","2","Living Resources","-9999","-9999","-9999","-9999"
"15009","Maui, HI","2013","3","Offshore Mineral Extraction","0","0","0","0"
"15009","Maui, HI","2013","4","Ship and Boat Building","0","0","0","0"
"15009","Maui, HI","2013","5","Tourism and Recreation","646","21094","745856000","1640505000"
"15009","Maui, HI","2013","6","Marine Transportation","-9999","-9999","-9999","-9999"
"15009","Maui, HI","2013","9","All Ocean Sectors","663","21094","745856000","1640505000"
"15001","Hawaii, HI","2012","1","Marine Construction","-9999","-9999","-9999","-9999"
"15001","Hawaii, HI","2012","2","Living Resources","15","77","3326000","8238000"
"15001","Hawaii, HI","2012","3","Offshore Mineral Extraction","-9999","-9999","-9999","-9999"
"15001","Hawaii, HI","2012","4","Ship and Boat Building","-9999","-9999","-9999","-9999"
"15001","Hawaii, HI","2012","5","Tourism and Recreation","531","11125","325491000","709340000"
"15001","Hawaii, HI","2012","6","Marine Transportation","-9999","-9999","-9999","-9999"
"15001","Hawaii, HI","2012","9","All Ocean Sectors","561","11202","328817000","717579000"
"15003","Honolulu, HI","2012","1","Marine Construction","23","523","48047000","99251000"
