rgn_id,year,value_mill,value
1,2011,"69,689",69689000000
1,2012,"72,100",72100000000
1,2013,"74,012",74012000000
1,2014,"76,425",76425000000
1,2015,"79,745",79745000000
2,2011,"69,689",69689000000
2,2012,"72,100",72100000000
2,2013,"74,012",74012000000
2,2014,"76,425",76425000000
2,2015,"79,745",79745000000
3,2011,"69,689",69689000000
3,2012,"72,100",72100000000
3,2013,"74,012",74012000000
3,2014,"76,425",76425000000
3,2015,"79,745",79745000000
4,2011,"69,689",69689000000
4,2012,"72,100",72100000000
4,2013,"74,012",74012000000
4,2014,"76,425",76425000000
4,2015,"79,745",79745000000
