key_sp,Species,Mean Annual Catch (lbs),Score,,Species,Mean Annual Catch (lbs),Score
Bery_Alfonsin,Alfonsin,35.00,0.88,,Alfonsin,35.00,0.88
Cara_Butaguchi ulua,Butaguchi ulua,306.20,0.88,,Butaguchi ulua,306.20,0.88
Cara_Gunkan ulua,Gunkan ulua,365.80,0.88,,Gunkan ulua,365.80,0.88
Cara_Kahala,Kahala,15621.40,0.88,,Kahala,15621.40,0.88
Cara_White ulua,White ulua,13177.20,0.88,,White ulua,13177.20,0.88
Lutj_Ehu,Ehu,30173.40,0.84,,Ehu,30173.40,0.84
Lutj_Gindai,Gindai,3000.80,0.84,,Gindai,3000.80,0.84
Lutj_Kalekale,Kalekale,14256.60,0.84,,Kalekale,14256.60,0.84
Lutj_Lehi,Lehi,10331.60,0.84,,Lehi,10331.60,0.84
Lutj_Onaga,Onaga,61830.00,0.84,,Onaga,61830.00,0.84
Lutj_Opakapaka,Opakapaka,130982.00,0.84,,Opakapaka,130982.00,0.84
Lutj_Taape,Taape,31372.80,1.00,,Taape,31372.80,1.00
Lutj_Uku,Uku,110802.00,0.98,,Uku,110802.00,0.98
Serr_Hapuupuu,Hapuupuu,9193.60,0.84,,Hapuupuu,9193.60,0.84
