key_sp,species,mean_catch,mean_score
Alop_Thresher,Thresher,20118.2,0.80402
Bram_Monchong,Monchong,1168013.8,0.80402
Carc_Blue,Blue,17780,0.925
Carc_Oceanic,Oceanic,461.8,0.925
Cory_Mahimahi,Mahimahi,1661440.8,0.80402
Isti_Blue marlin,Blue marlin,1489631.2,1
Isti_misc,Misc Istiophoridae Species,2234.2,0.683
Isti_Sailfish,Sailfish,46248.2,0.683
Isti_Striped marlin,Striped marlin,1005381.8,0.366
Lamn_Mako,Mako,119500.6,0.80402
Scom_Bigeye tuna,Bigeye tuna,16523198.8,0.81616
Scom_Bluefin,Bluefin,1077,0.386
Scom_Kawakawa,Kawakawa,18179,0.80054
Scom_Ono,Ono,1075297,0.80054
Scom_Tombo,Tombo,925796.4,1
Scom_Yellowfin tuna,Yellowfin tuna,4070706.8,1
Xiph_Swordfish,Swordfish,2084987.4,1
