species,year,rgn_id,licenses,catch
Aawa,2012,1,59,2448
Aawa,2012,2,29,181
Aawa,2012,3,41,1701
Aawa,2012,4,13,435
Aawa,2013,1,58,1920
Aawa,2013,2,15,109
Aawa,2013,3,45,1465
Aawa,2013,4,12,140
Aawa,2014,1,44,1359
Aawa,2014,2,14,183
Aawa,2014,3,49,1594
Aawa,2014,4,9,409
Aawa,2015,1,34,1024
Aawa,2015,2,14,123
Aawa,2015,3,39,1160
Aawa,2015,4,5,247
Aawa,2016,1,45,1902
Aawa,2016,2,15,145
Aawa,2016,3,30,1260
Aawa,2016,4,10,44
Ahaaha,2012,1,8,123
Ahaaha,2012,2,4,371
Ahaaha,2012,3,14,427
Ahaaha,2013,1,10,83
Ahaaha,2013,2,4,102
Ahaaha,2013,3,16,233
Ahaaha,2014,2,5,114
Ahaaha,2014,3,26,341
Ahaaha,2015,1,10,85
Ahaaha,2015,3,13,194
Ahaaha,2016,1,4,45
Ahaaha,2016,3,11,301
Aholehole,2012,1,15,591
Aholehole,2012,2,7,287
Aholehole,2012,3,19,728
Aholehole,2012,4,5,217
Aholehole,2013,1,17,721
Aholehole,2013,2,6,47
Aholehole,2013,3,19,1245
Aholehole,2013,4,3,271
Aholehole,2014,1,14,807
Aholehole,2014,2,5,105
Aholehole,2014,3,19,554
Aholehole,2014,4,3,229
Aholehole,2015,1,16,613
Aholehole,2015,2,4,55
Aholehole,2015,3,17,3748
Aholehole,2015,4,4,273
Aholehole,2016,1,13,690
Aholehole,2016,2,6,220
Aholehole,2016,3,15,760
Aku,2012,1,313,88083
Aku,2012,2,195,46419
Aku,2012,3,349,182213
Aku,2012,4,138,39484
Aku,2013,1,267,71446
Aku,2013,2,185,53508
Aku,2013,3,351,406388
Aku,2013,4,131,48602
Aku,2014,1,278,61938
Aku,2014,2,184,33704
Aku,2014,3,293,117906
Aku,2014,4,105,19654
Aku,2015,1,262,42465
Aku,2015,2,140,29715
Aku,2015,3,322,146397
Aku,2015,4,110,31712
Aku,2016,1,219,47913
Aku,2016,2,118,26396
Aku,2016,3,274,155173
Aku,2016,4,91,29065
Akule,2012,1,58,18902
Akule,2012,2,29,30101
Akule,2012,3,87,180677
Akule,2012,4,33,40054
Akule,2013,1,59,14982
