rgn_id,year,a_prot_1km
1,2000,29396.75
1,2001,29396.75
1,2002,29409.0
1,2003,29412.75
1,2004,29416.0
1,2005,29419.75
1,2006,29556.75
1,2007,29562.0
1,2008,29564.25
1,2009,29567.5
1,2010,30430.5
1,2011,30433.0
1,2012,30449.5
1,2013,30449.5
1,2014,30449.5
1,2015,30449.5
2,2000,29396.75
2,2001,29396.75
2,2002,29409.0
2,2003,29412.75
2,2004,29416.0
2,2005,29419.75
2,2006,29556.75
2,2007,29562.0
2,2008,29564.25
2,2009,29567.5
2,2010,30430.5
2,2011,30433.0
2,2012,30449.5
2,2013,30449.5
2,2014,30449.5
2,2015,30449.5
3,2000,29396.75
3,2001,29396.75
3,2002,29409.0
3,2003,29412.75
3,2004,29416.0
3,2005,29419.75
3,2006,29556.75
3,2007,29562.0
3,2008,29564.25
3,2009,29567.5
3,2010,30430.5
3,2011,30433.0
3,2012,30449.5
3,2013,30449.5
3,2014,30449.5
3,2015,30449.5
4,2000,29396.75
4,2001,29396.75
4,2002,29409.0
4,2003,29412.75
4,2004,29416.0
4,2005,29419.75
4,2006,29556.75
4,2007,29562.0
4,2008,29564.25
4,2009,29567.5
4,2010,30430.5
4,2011,30433.0
4,2012,30449.5
4,2013,30449.5
4,2014,30449.5
4,2015,30449.5
