rgn_id,year,value
3,2000,876629
3,2001,882755
3,2002,890473
3,2003,894311
3,2004,907997
3,2005,918181
3,2006,926954
3,2007,925335
3,2008,933680
3,2009,943177
3,2010,956377
3,2011,966581
3,2012,976711
3,2013,986802
3,2014,992082
3,2015,998714
1,2000,149244
1,2001,151690
1,2002,154576
1,2003,158442
1,2004,162852
1,2005,168237
1,2006,173536
1,2007,177733
1,2008,181506
1,2009,183629
1,2010,185326
1,2011,186961
1,2012,188780
1,2013,191224
1,2014,194016
1,2015,196428
4,2000,58568
4,2001,59075
4,2002,59981
4,2003,60805
4,2004,62095
4,2005,62863
4,2006,63465
4,2007,64490
4,2008,65603
4,2009,66518
4,2010,67209
4,2011,67794
4,2012,68551
4,2013,69703
4,2014,70672
4,2015,71735
2,2000,129078
2,2001,132428
2,2002,134583
2,2003,137596
2,2004,140625
2,2005,143448
2,2006,145776
2,2007,148117
2,2008,151424
2,2009,153393
2,2010,155068
2,2011,156891
2,2012,158599
2,2013,161036
2,2014,163487
2,2015,164726
