rgn_id,year,jobs_all
1,2015,89050
2,2015,84250
3,2015,468900
4,2015,35250
1,2016,91400
2,2016,86250
3,2016,476050
4,2016,36100
3,1990,409000
3,1991,418200
3,1992,423850
3,1993,426450
3,1994,424600
3,1995,425450
3,1996,430850
3,1997,432750
3,1998,432450
3,1999,430450
3,2000,430900
3,2001,431950
3,2002,424150
3,2003,424450
3,2004,428000
3,2005,439250
3,2006,444800
3,2007,442500
3,2008,443900
3,2009,439750
3,2010,446200
3,2011,456100
3,2012,448600
3,2013,451250
3,2014,463550
1,1990,58400
1,1991,63600
1,1992,65200
1,1993,65450
1,1994,65600
1,1995,65250
1,1996,67400
1,1997,69400
1,1998,69350
1,1999,70500
1,2000,73900
1,2001,75750
1,2002,75450
1,2003,76750
1,2004,78350
1,2005,80750
1,2006,83850
1,2007,84800
1,2008,84900
1,2009,83900
1,2010,87750
1,2011,88650
1,2012,86200
1,2013,86100
1,2014,87350
4,1990,26150
4,1991,28500
4,1992,29400
4,1993,28450
4,1994,28700
4,1995,28850
4,1996,29100
4,1997,28900
4,1998,29000
4,1999,29350
4,2000,30250
4,2001,30250
4,2002,30000
4,2003,30650
4,2004,31200
4,2005,31900
4,2006,32450
4,2007,32650
4,2008,32650
4,2009,32000
4,2010,34300
4,2011,34900
4,2012,33900
4,2013,33950
4,2014,34600
2,1990,57400
2,1991,61350
2,1992,65800
2,1993,66050
2,1994,66300
2,1995,66950
2,1996,68250
2,1997,69950
2,1998,70800
2,1999,72600
2,2000,70950
2,2001,72650
2,2002,71350
2,2003,71250
2,2004,73400
2,2005,75000
2,2006,77150
2,2007,78450
2,2008,78250
2,2009,76050
2,2010,78950
2,2011,80500
2,2012,79250
2,2013,79850
2,2014,82650
