rgn_id,habitat,km2,reference
1,reef,238.55,cumulative impacts
2,reef,461.29,cumulative impacts
3,reef,374.17,cumulative impacts
4,reef,347.26,cumulative impacts
1,soft,16.95,cumulative impacts
2,soft,156.21,cumulative impacts
3,soft,92.82,cumulative impacts
4,soft,55.96,cumulative impacts
1,beach,0.0628531,NOAA ccap
2,beach,2.9922911,NOAA ccap
3,beach,0.998064,NOAA ccap
4,beach,0.73387,NOAA ccap
1,wetlands,0.1648569,NOAA ccap
2,wetlands,11.8726214,NOAA ccap
3,wetlands,6.7447414,NOAA ccap
4,wetlands,3.8062138,NOAA ccap
1,watersheds,"2,337",DLNR
2,watersheds,562,DLNR
3,watersheds,187,DLNR
4,watersheds,326,DLNR
