rgn_id,rgn_name,year,area_sq_m,sq_km,class_name,,,
1,Hawaii,2005,681286.5,0.6812865,Palustrine_forested_wetland,,,
1,Hawaii,2005,451791.02,0.45179102,Palustrine_scrub_shrub_wetland,,,
1,Hawaii,2005,967480.8,0.9674808,Palustrine_emergent_wetland,,,
1,Hawaii,2005,50399,0.050399,estuarine_forested_wetland,,,
1,Hawaii,2005,900,0.0009,esturarine_scrub_shrub_wetland,,,
1,Hawaii,2005,120598,0.120598,esturarine_emergent_wetland,,,
1,Hawaii,2010,48297.6,0.0482976,estuarine forested wetland,,,
1,Hawaii,2010,973.4,0.0009734,estuarine scrub/shrub wetland,,,
1,Hawaii,2010,115585.9,0.1155859,estuarine emergent wetland,,,
2,Maui Nui,2005,3568500,3.5685,Palustrine Forested Wetland,,,
2,Maui Nui,2005,1709100,1.7091,Palustrine Scrub_Shrub Wetland,,,
2,Maui Nui,2005,1440000,1.44,Palustrine Emergent Wetland,,,
2,Maui Nui,2005,369000,0.369,Estuarine Forest Wetland,,,
2,Maui Nui,2005,16200,0.0162,Estuarine Scrub_Shrub Wetland,,,
2,Maui Nui,2005,38505940.5,0.89,Estuarine Emergent Wetland,,,data from excel change 2005/2010 tables
2,Maui Nui,2010,1930389.1,1.9303891,estuarine forested wetland,,,
2,Maui Nui,2010,2060190.7,2.0601907,estuarine scrub/shrub wetland,,,
2,Maui Nui,2010,2334948.5,2.3349485,estuarine emergent wetland,,,
2,Maui Nui,2010,972587.52,0.97258752,palustrine forested wetland,,,
2,Maui Nui,2010,956096.6,0.9560966,palustrine scrub/shrub wetland,,,
2,Maui Nui,2010,1517938.6,1.5179386,palustrine emergent wetland,,,
2,Kauai,2010,5316.48,0.00531648,palustrine emergent wetland,,,
2,Molokai,2010,1246475.5,1.2464755,palustrine forested wetland,,,
2,Molokai,2010,576616.3,0.5766163,palustrine scrub/shrub wetland,,,
2,Molokai,2010,272062.1,0.2720621,palustrine emergent wetland,,,
3,Oahu,2005,2314753.98,2.31475398,Palustrine_forested_wetland,,,
3,Oahu,2005,1191576.3,1.1915763,Palustrine_scrub_shrub_wetland,,,
3,Oahu,2005,395992.12,0.39599212,Palustrine_emergent_wetland,,,
3,Oahu,2005,467990.7,0.4679907,Estuarine_forested_wetland,,,
3,Oahu,2005,779384.5,0.7793845,Estuarine_scrub_shrub_wetland,,,
3,Oahu,2005,4441411.7,4.4414117,Estuarine_Emergent_Wetlands,,,
3,Oahu,2010,1846880.6,1.8468806,estuarine forested wetland,,,
3,Oahu,2010,707305,0.707305,estuarine scrub/shrub wetland,,,
3,Oahu,2010,669991.7,0.6699917,estuarine emergent wetland,,,
3,Oahu,2010,700243.2,0.7002432,palustrine forested wetland,,,
3,Oahu,2010,678257.3,0.6782573,palustrine scrub/shrub wetland,,,
3,Oahu,2010,2142063.6,2.1420636,palustrine emergent wetland,,,
4,Kauai,2005,1248275.2,1.2482752,Palustrine Forested Wetland,,,
4,Kauai,2005,304194,0.304194,Palustrine Scrub_Shrub Wetland,,,
4,Kauai,2005,1495770.3,1.4957703,Palustrine Emergent Wetland,,,
4,Kauai,2005,230395.4,0.2303954,Estuarine Forest Wetland,,,
