rgn_id,year,rgn_name,area_sq_m,acres,km,class_name
4,2010,Kauai,293852.2,72.61246002,0.2938522,estuarine forested wetland
4,2010,Kauai,16289.3,4.025173693,0.0162893,estuarine scrub/shrub wetland
4,2010,Kauai,140855,34.80602853,0.140855,estuarine emergent wetland
3,2010,Oahu,1846880.6,456.3741355,1.8468806,estuarine forested wetland
3,2010,Oahu,707305,174.7788719,0.707305,estuarine scrub/shrub wetland
3,2010,Oahu,669991.7,165.5585547,0.6699917,estuarine emergent wetland
2,2010,Maui Nui,1930389.1,477.0095352,1.9303891,estuarine forested wetland
2,2010,Maui Nui,2060190.7,509.0842091,2.0601907,estuarine scrub/shrub wetland
2,2010,Maui Nui,2334948.5,576.9783401,2.3349485,estuarine emergent wetland
1,2010,Hawaii,48297.6,11.93459688,0.0482976,estuarine forested wetland
1,2010,Hawaii,973.4,0.240532378,0.0009734,estuarine scrub/shrub wetland
1,2010,Hawaii,115585.9,28.56189793,0.1155859,estuarine emergent wetland
