rgn_id,rgn_name,change_sqmiles,change_acres,perc_change
1,Hawaii,0.06,38.4,-21.09
2,Lanai,,0,0
2,Molokai,,0,1.66
2,Maui,,0,1.66
3,Oahu,,0,1.15
4,Kauai and Niihau,,0,10.94
