OBJECTID *,RGN_ID,BRFA,km2_BFR,km2_longline,km2_monument,total_area_km2,res_score
1,1,1600637233,1600.637233,69272.02162,,390828,0.181339768
2,2,615629704.8,615.6297048,47700.81097,,141206,0.342169884
3,3,290225432.3,290.2254323,47463.4453,,120107,0.397592736
4,4,197001505.5,197.0015055,80810.89962,611.0432202,327665,0.249092654
