OBJECTID *,RGN_ID,HAWAII_DEPARTMENT_OF_LAND_AND_NATURAL_RESOURCES,NATIONAL_MARINE_SANCTUARIES,NATIONAL_PARK_SERVICE,km2,3nm_area,res_score
1,1,456404329.1,332747983.8,4496594.375,793.6489072,2718.605846,0.291932318
2,2,361975847.2,1263543019,6744891.563,1632.263758,3206.864611,0.508990542
3,3,69697212.82,308016714.7,0,377.7139275,1258.569925,0.300113581
4,4,49462538.13,101173373.4,0,150.6359116,1471.886862,0.102342045
