GeoId, GeoName, stateName, landsqmi, YearRange, B01001_001, B01001_002, B01001_003, B01001_004, B01001_005, B01001_006, B01001_007, B01001_008, B01001_009, B01001_010, B01001_011, B01001_012, B01001_013, B01001_014, B01001_015, B01001_016, B01001_017, B01001_018, B01001_019, B01001_020, B01001_021, B01001_022, B01001_023, B01001_024, B01001_025, B01001_026, B01001_027, B01001_028, B01001_029, B01001_030, B01001_031, B01001_032, B01001_033, B01001_034, B01001_035, B01001_036, B01001_037, B01001_038, B01001_039, B01001_040, B01001_041, B01001_042, B01001_043, B01001_044, B01001_045, B01001_046, B01001_047, B01001_048, B01001_049, B02001_002, B02001_003, B02001_004, B02001_005, B02001_006, B02001_007, B02001_008, B02001_009, B02001_010, B03002_001, B09002_001, B09002_002, B09002_009, B09002_015, B11001_001, B11001_002, B11001_003, B11001_004, B11001_005, B11001_006, B11002_001, B15002_001, B15002_002, B15002_003, B15002_004, B15002_005, B15002_006, B15002_007, B15002_008, B15002_009, B15002_010, B15002_011, B15002_012, B15002_013, B15002_014, B15002_015, B15002_016, B15002_017, B15002_018, B15002_019, B15002_020, B15002_021, B15002_022, B15002_023, B15002_024, B15002_025, B15002_026, B15002_027, B15002_028, B15002_029, B15002_030, B15002_031, B15002_032, B15002_033, B15002_034, B15002_035, B16002_001, B16002_002, B16002_003, B16002_004, B16002_005, B16002_006, B16002_007, B16002_008, B16002_009, B16002_010, B16002_011, B16002_012, B16002_013, B16002_014, B16004_007, B16004_008, B16004_012, B16004_013, B16004_017, B16004_018, B16004_022, B16004_023, B16004_029, B16004_030, B17021_001, B17021_002, B19001_002, B19001_003, B19001_004, B19001_005, B19001_006, B19001_007, B19001_008, B19001_009, B19001_010, B19001_011, B19001_012, B19001_013, B19001_014, B19001_015, B19001_016, B19001_017, B19055_002, B25002_001, B25002_002, B25002_003, B25024_001, B25024_010, B25034_001, B25034_002, B25034_003, B25034_004, B25034_005, B25034_006, B25034_007, B25034_008, B25034_009, B25034_010, B25063_001, B25063_002, B25063_003, B25063_004, B25063_005, B25063_006, B25063_007, B25063_008, B25063_009, B25063_010, B25063_011, B25063_012, B25063_013, B25063_014, B25063_015, B25063_016, B25063_017, B25063_018, B25063_019, B25063_020, B25063_021, B25063_022, B25063_023, B25063_024, B25075_001
"15000","Hawaii","Hawaii","7063","2005-2009","1280241","647624","45000","38568","40958","25660","16804","11230","11306","30714","52610","45081","43657","46229","45235","43601","40105","14628","18005","10320","12556","17073","15955","12467","9862","632617","41275","36509","37533","23785","13788","7237","8655","25692","44594","40528","41816","44132","45606","44848","39980","14699","19587","10728","13622","21848","21715","18068","16372","344681","30995","3781","493178","112940","16661","278005","8770","269235","1280241","229649","172840","14788","42021","437976","306735","227685","79050","24179","54871","1244465","865527","427384","3454","2326","5060","6155","5244","6642","5951","6071","129465","23999","68833","40570","80887","25292","11095","6340","438143","4794","3518","7980","9655","5988","5593","6001","6584","123738","23849","67078","44356","87873","29653","7689","3794","437976","300675","13919","1204","12715","11305","753","10552","111204","23667","87537","873","19","854","212","0","137","0","1576","137","0","0","1938","241","1250787","117745","25616","16218","15426","17035","17853","18915","18114","19235","17738","36134","50026","65458","45403","26764","26807","21234","130697","505087","437976","67111","505087","896","505087","12920","31487","72127","78892","133590","81329","50027","22317","22398","183562","167904","418","715","2209","1909","1629","1719","1925","1855","2475","2489","2432","3299","3329","3903","4444","11024","12678","28803","20725","31836","28088","15658","254414"
"15000","Hawaii","Hawaii","7063","2006-2010","1333591","668202","44737","40899","42095","27018","17705","11525","11055","29573","49562","43234","44964","45428","48302","48171","43855","17218","20900","12105","13921","18288","15866","11667","10114","665389","41844","38233","40405","25497","15913","7763","9511","26008","46137","41034","43008","45648","48071","48681","44614","16670","21913","11869","14996","22617","20355","17373","17229","333842","21170","3506","525848","127661","15964","305600","10008","295592","1333591","235726","177823","15015","42888","442267","308525","228429","80096","24403","55693","1291747","903810","443595","3732","2495","5453","5855","5196","6208","6489","6320","133943","24181","73004","42031","83964","26500","11616","6608","460215","5171","3631","8596","8976","5793","6050","5988","6492","127848","25287","72442","46534","93763","31179","8523","3942","442267","300909","13662","1322","12340","11637","800","10837","115129","25111","90018","930","21","909","146","0","114","0","1785","161","0","0","1698","143","1298918","124627","25412","15974","15751","17642","17627","18149","17427","19413","16649","35016","48841","66430","46381","29549","28401","23605","135465","512157","442267","69890","512157","821","512157","18629","34112","73314","78994","132351","81420","49613","21231","22493","179848","165980","311","666","2354","1944","1678","1689","1417","2008","2039","2330","2179","3167","3264","3610","3999","10300","11812","27397","21521","30585","31710","13868","262419"
"15000","Hawaii","Hawaii","7063","2007-2011","1346554","674569","45167","41501","42025","26705","17663","10576","10637","30687","50737","44063","43639","45904","48026","48355","44469","18438","21821","12743","14363","19100","15254","11685","11011","671985","42239","38734","40433","25321","16087","7656","9425","26269","46832","41957","42348","45139","47624","48915","45765","17734","22637","12654","15647","22713","20169","17700","17987","335908","21628","3198","524274","129157","16293","316096","9993","306103","1346554","237949","176943","16306","44700","445513","310284","229073","81211","24930","56281","1304538","915429","449608","3709","2563","5303","5625","4530","6572","6647","6153","134175","24197","77429","42711","84598","27288","11456","6652","465821","5442","3685","8284","7986","5362","6083","5909","6496","128161","25436","75555","47306","94656","32694","8443","4323","445513","303338","14158","1350","12808","12244","907","11337","114802","25083","89719","971","26","945","117","5","134","0","1922","201","6","0","1685","205","1311890","134387","25306","16090","15217","17018","17775","18070","17561","19668","16878","35029","47427","66455","47999","30859","29695","24466","138140","516394","445513","70881","516394","830","516394","24800","35537","73503","81459","130027","81355","48622","20421","20670","184026","170461","315","549","1954","1829","1549","2051","1501","1894","1393","2307","2054","2776","3247","3690","3581","9565","11390","27937","22409","31302","37168","13565","261487"
"15000","Hawaii","Hawaii","7063","2008-2012","1362730","683498","45409","42530","41561","26185","17913","11047","10654","31538","52159","45596","43912","45278","47489","48494","44512","19541","22660","13132","15806","19680","15089","11567","11746","679232","42794","38284","41338","24919","15984","8149","9158","27135","47221","43175","42101","44791","47019","48836","45962","18447","23891","13404","16737","22985","19815","17465","19622","339079","22399","3079","527745","133873","16244","320311","10428","309883","1362730","237621","175105","16796","45720","447453","310300","229334","80966","25019","55947","1319671","928132","456661","4292","2454","5583","5188","4118","6251","7014","6789","134732","24084","81603","43654","85145","26991","12053","6710","471471","5833","3310","8194","7657","5431","5712","5977","6613","128837","26114","76679","47222","96521","34135","8798","4438","447453","305458","14092","1321","12771","12707","971","11736","114140","26067","88073","1056","81","975","167","2","98","0","2288","192","32","0","1442","194","1326949","143001","25790","16111","15972","16989","17854","17354","17602","19169","16839","34881","46849","66450","48711","30682","30852","25348","141195","519811","447453","72358","519811","705","519811","1571","64738","75774","82219","127923","79139","48538","20248","19661","187185","173925","362","402","1562","2058","1525","1918","1282","1740","1372","2222","1882","2781","3094","3659","3482","8552","10600","28736","23454","32398","40844","13260","260268"
"15000","Hawaii","Hawaii","7063","2009-2013","1376298","691426","45823","42663","42463","25516","17427","11076","11090","32768","54048","47500","43580","45273","46394","47789","45022","19824","22850","13903","16833","20973","14916","11486","12209","684872","43400","39045","41379","24615","15797","8203","8795","28021","47588","44387","41681","44545","45999","48243","46783","18815","23977","14381","17811","23890","18984","17751","20782","344488","24532","3050","526743","134733","15418","327334","11066","316268","1376298","239340","177090","16554","45696","449771","312058","231608","80450","24811","55639","1333167","938217","462600","4405","2557","5054","5060","4317","6199","6923","6838","135394","25389","81517","44601","87948","27312","11727","7359","475617","5721","3198","8160","7345","5294","6020","5954","6950","128270","25795","76853","47911","98431","35999","8754","4962","449771","308926","13559","1343","12216","12515","1034","11481","113715","26590","87125","1056","118","938","113","3","75","0","2301","207","41","0","1167","216","1340061","149531","25908","15964","16186","17731","17317","18364","17349","18632","16967","35319","47092","64955","49292","30753","31526","26416","143961","522164","449771","72393","522164","685","522164","3498","69013","77117","82111","127037","77816","47313","19303","18956","190501","177081","323","410","1475","2245","1494","1991","1247","1707","1295","2073","1829","2621","2929","3489","3315","7799","11069","29058","23411","34035","43266","13420","259270"
