GeoID, GeoName,rgn_id, Year, OceanSector, Sector_ID, Employment, GrossReceipts, Data_Flags,wage_per_employ
15001,"Hawaii, HI",1,2013,Marine Construction,1,15,1129000,G,75266.66667
15001,"Hawaii, HI",1,2013,Living Resources,2,462,13680000,G,29610.38961
15001,"Hawaii, HI",1,2013,Offshore Mineral Resources,3,-9999,-9999,D,1
15001,"Hawaii, HI",1,2013,Ship and Boat Building,4,-9999,-9999,D,1
15001,"Hawaii, HI",1,2013,Tourism and Recreation,5,211,18107000,G,85815.16588
15001,"Hawaii, HI",1,2013,Marine Transportation,6,51,2813000,H,55156.86275
15001,"Hawaii, HI",1,2013,All Ocean Sectors,9,748,36500000,G,48796.79144
15001,"Hawaii, HI",1,2012,All Ocean Sectors,9,761,32961000,G,43312.74639
15001,"Hawaii, HI",1,2012,Marine Transportation,6,46,2515000,H,54673.91304
15001,"Hawaii, HI",1,2012,Tourism and Recreation,5,195,14183000,G,72733.33333
15001,"Hawaii, HI",1,2012,Ship and Boat Building,4,0,0,DDG,#DIV/0!
15001,"Hawaii, HI",1,2012,Offshore Mineral Resources,3,0,0,DDD,#DIV/0!
15001,"Hawaii, HI",1,2012,Living Resources,2,499,14000000,G,28056.11222
15001,"Hawaii, HI",1,2012,Marine Construction,1,13,1553000,G,119461.5385
15001,"Hawaii, HI",1,2011,Marine Construction,1,12,1746000,,145500
15001,"Hawaii, HI",1,2011,Living Resources,2,451,11476000,,25445.67627
15001,"Hawaii, HI",1,2011,Offshore Mineral Resources,3,3,53000,,17666.66667
15001,"Hawaii, HI",1,2011,Ship and Boat Building,4,-9999,-9999,,1
15001,"Hawaii, HI",1,2011,Tourism and Recreation,5,181,15649000,,86458.56354
15001,"Hawaii, HI",1,2011,Marine Transportation,6,52,2246000,,43192.30769
15001,"Hawaii, HI",1,2011,All Ocean Sectors,9,702,31207000,,44454.41595
15001,"Hawaii, HI",1,2010,All Ocean Sectors,9,649,28500000,G,43913.71341
15001,"Hawaii, HI",1,2010,Marine Transportation,6,51,2233000,G,43784.31373
15001,"Hawaii, HI",1,2010,Tourism and Recreation,5,163,13177000,G,80840.4908
15001,"Hawaii, HI",1,2010,Ship and Boat Building,4,-9999,-9999,D,1
15001,"Hawaii, HI",1,2010,Offshore Mineral Resources,3,5,86000,H,17200
15001,"Hawaii, HI",1,2010,Living Resources,2,407,11828000,G,29061.42506
15001,"Hawaii, HI",1,2010,Marine Construction,1,21,1138000,H,54190.47619
15001,"Hawaii, HI",1,2009,Marine Construction,1,18,1291000,G,71722.22222
15001,"Hawaii, HI",1,2009,Living Resources,2,405,8357000,G,20634.5679
15001,"Hawaii, HI",1,2009,Offshore Mineral Resources,3,4,118000,H,29500
15001,"Hawaii, HI",1,2009,Ship and Boat Building,4,-9999,-9999,D,1
15001,"Hawaii, HI",1,2009,Tourism and Recreation,5,165,12225000,G,74090.90909
15001,"Hawaii, HI",1,2009,Marine Transportation,6,49,2031000,G,41448.97959
15001,"Hawaii, HI",1,2009,All Ocean Sectors,9,642,24034000,G,37436.13707
15001,"Hawaii, HI",1,2008,All Ocean Sectors,9,624,28008000,G,44884.61538
15001,"Hawaii, HI",1,2008,Marine Transportation,6,43,4064000,G,94511.62791
15001,"Hawaii, HI",1,2008,Tourism and Recreation,5,151,11571000,G,76629.13907
15001,"Hawaii, HI",1,2008,Ship and Boat Building,4,0,0,Z,#DIV/0!
15001,"Hawaii, HI",1,2008,Offshore Mineral Resources,3,-9999,-9999,D,1
15001,"Hawaii, HI",1,2008,Living Resources,2,400,10056000,G,25140
15001,"Hawaii, HI",1,2008,Marine Construction,1,21,2018000,G,96095.2381
15001,"Hawaii, HI",1,2007,Marine Construction,1,13,1442000,G,110923.0769
15001,"Hawaii, HI",1,2007,Living Resources,2,426,11820000,G,27746.47887
15001,"Hawaii, HI",1,2007,Offshore Mineral Resources,3,4,193000,H,48250
15001,"Hawaii, HI",1,2007,Ship and Boat Building,4,0,0,Z,#DIV/0!
15001,"Hawaii, HI",1,2007,Tourism and Recreation,5,160,9869000,G,61681.25
15001,"Hawaii, HI",1,2007,Marine Transportation,6,50,2701000,G,54020
15001,"Hawaii, HI",1,2007,All Ocean Sectors,9,653,26025000,G,39854.51761
15001,"Hawaii, HI",1,2006,All Ocean Sectors,9,623,25153000,G,40373.99679
15001,"Hawaii, HI",1,2006,Marine Transportation,6,32,1544000,H,48250
15001,"Hawaii, HI",1,2006,Tourism and Recreation,5,152,10524000,G,69236.84211
15001,"Hawaii, HI",1,2006,Ship and Boat Building,4,-9999,-9999,D,1
15001,"Hawaii, HI",1,2006,Offshore Mineral Resources,3,-9999,-9999,D,1
15001,"Hawaii, HI",1,2006,Living Resources,2,414,10770000,G,26014.49275
15001,"Hawaii, HI",1,2006,Marine Construction,1,19,1867000,G,98263.15789
15001,"Hawaii, HI",1,2005,Marine Construction,1,21,1816000,G,86476.19048
15001,"Hawaii, HI",1,2005,Living Resources,2,416,9859000,G,23699.51923
15001,"Hawaii, HI",1,2005,Offshore Mineral Resources,3,-9999,-9999,D,1
15001,"Hawaii, HI",1,2005,Ship and Boat Building,4,0,0,G,#DIV/0!
15001,"Hawaii, HI",1,2005,Tourism and Recreation,5,140,11615000,G,82964.28571
15001,"Hawaii, HI",1,2005,Marine Transportation,6,43,1782000,G,41441.86047
15001,"Hawaii, HI",1,2005,All Ocean Sectors,9,627,25644000,G,40899.52153
15003,"Honolulu, HI",3,2013,Marine Construction,1,20,2613000,H,130650
15003,"Honolulu, HI",3,2013,Living Resources,2,513,42642000,G,83122.80702
15003,"Honolulu, HI",3,2013,Offshore Mineral Resources,3,11,278000,H,25272.72727
15003,"Honolulu, HI",3,2013,Ship and Boat Building,4,13,1490000,H,114615.3846
15003,"Honolulu, HI",3,2013,Tourism and Recreation,5,387,30265000,G,78204.13437
15003,"Honolulu, HI",3,2013,Marine Transportation,6,172,8263000,G,48040.69767
15003,"Honolulu, HI",3,2013,All Ocean Sectors,9,1116,85551000,G,76658.60215
15003,"Honolulu, HI",3,2012,All Ocean Sectors,9,1078,86374000,G,80124.30427
15003,"Honolulu, HI",3,2012,Marine Transportation,6,163,7462000,G,45779.1411
15003,"Honolulu, HI",3,2012,Tourism and Recreation,5,371,33543000,G,90412.39892
15003,"Honolulu, HI",3,2012,Ship and Boat Building,4,12,822000,G,68500
15003,"Honolulu, HI",3,2012,Living Resources,2,505,42923000,G,84996.0396
15003,"Honolulu, HI",3,2012,Offshore Mineral Resources,3,14,426000,G,30428.57143
15003,"Honolulu, HI",3,2012,Marine Construction,1,0,0,DDD,#DIV/0!
15003,"Honolulu, HI",3,2011,Marine Construction,1,-9999,-9999,,1
15003,"Honolulu, HI",3,2011,Offshore Mineral Resources,3,14,826000,,59000
15003,"Honolulu, HI",3,2011,Living Resources,2,489,36945000,,75552.14724
15003,"Honolulu, HI",3,2011,Ship and Boat Building,4,9,982000,,109111.1111
15003,"Honolulu, HI",3,2011,Tourism and Recreation,5,411,36314000,,88355.23114
15003,"Honolulu, HI",3,2011,Marine Transportation,6,170,7507000,,44158.82353
15003,"Honolulu, HI",3,2011,All Ocean Sectors,9,1104,83535000,,75665.76087
15003,"Honolulu, HI",3,2010,All Ocean Sectors,9,1044,81252000,G,77827.58621
15003,"Honolulu, HI",3,2010,Marine Transportation,6,171,6314000,G,36923.97661
15003,"Honolulu, HI",3,2010,Ship and Boat Building,4,7,614000,H,87714.28571
15003,"Honolulu, HI",3,2010,Tourism and Recreation,5,403,35683000,G,88543.42432
15003,"Honolulu, HI",3,2010,Living Resources,2,436,37129000,G,85158.25688
15003,"Honolulu, HI",3,2010,Offshore Mineral Resources,3,16,815000,G,50937.5
15003,"Honolulu, HI",3,2010,Marine Construction,1,-9999,-9999,D,1
15003,"Honolulu, HI",3,2009,Marine Construction,1,12,1147000,H,95583.33333
15003,"Honolulu, HI",3,2009,Offshore Mineral Resources,3,21,1419000,H,67571.42857
15003,"Honolulu, HI",3,2009,Living Resources,2,426,29579000,G,69434.2723
