rgn_id,year,species,category,type,Family,stock,score,ref
1,2010,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.92,SPC
1,2011,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.86,SPC
1,2012,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.79,SPC
1,2013,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.87,regression gap fill
1,2014,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.85,regression gap fill
1,2015,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.82,regression gap fill
1,2016,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.7508,regression gap fill
2,2010,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.92,
2,2011,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.86,
2,2012,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.79,
2,2013,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.87,
2,2014,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.85,
2,2015,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.82,
2,2016,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.7508,
3,2010,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.92,
3,2011,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.86,
3,2012,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.79,
3,2013,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.87,
3,2014,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.85,
3,2015,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.82,
3,2016,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.7508,
4,2010,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.92,
4,2011,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.86,
4,2012,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.79,
4,2013,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.87,
4,2014,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.85,
4,2015,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.82,
4,2016,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,0.7508,
1,2010,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.13,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,2011,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.17,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,2012,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.18,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,2013,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.25,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,2014,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.25,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,2015,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.263,regression gap fill
1,2016,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.283,regression gap fill
2,2010,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.13,
2,2011,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.17,
2,2012,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.18,
2,2013,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.25,
2,2014,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.25,
2,2015,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.263,
2,2016,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.283,
3,2010,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.13,
3,2011,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.17,
3,2012,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.18,
3,2013,Blue marlin,pel_other,pelagic,Istiophoridae,Makaira nigricans,1.25,
