year,catch,catch1,code
1996,325998,0.33,cb
1997,372058,0.37,cb
1998,342774,0.34,cb
1999,332078,0.33,cb
2000,326204,0.33,cb
2001,293707,0.29,cb
2002,279716,0.28,cb
2003,281282,0.28,cb
2004,279384,0.28,cb
2005,238361,0.24,cb
2006,198594,0.20,cb
2007,198917,0.20,cb
2008,196207,0.20,cb
2009,201901,0.20,cb
2010,175798,0.18,cb
2011,141779,0.14,cb
2012,165975,0.17,cb
2013,179434,0.18,cb
2014,184142,0.18,cb
2015,168991,0.17,cb
1996,512766,0.51,co
1997,561543,0.56,co
1998,812892,0.81,co
1999,666551,0.67,co
2000,433289,0.43,co
2001,269338,0.27,co
2002,303261,0.30,co
2003,330846,0.33,co
2004,254999,0.25,co
2005,217602,0.22,co
2006,232473,0.23,co
2007,245817,0.25,co
2008,187364,0.19,co
2009,226747,0.23,co
2010,258327,0.26,co
2011,205049,0.21,co
2012,228630,0.23,co
2013,223937,0.22,co
2014,215709,0.22,co
2015,227853,0.23,co
1996,9970919,9.97,cp
1997,11434342,11.43,cp
1998,11654851,11.65,cp
1999,12008024,12.01,cp
2000,12133288,12.13,cp
2001,9979976,9.98,cp
2002,10136090,10.14,cp
2003,10005156,10.01,cp
2004,10448414,10.45,cp
2005,12210156,12.21,cp
2006,11115787,11.12,cp
2007,12583453,12.58,cp
2008,13411393,13.41,cp
2009,11665598,11.67,cp
2010,12169604,12.17,cp
2011,12854260,12.85,cp
2012,13542081,13.54,cp
2013,14129452,14.13,cp
2014,14634096,14.63,cp
2015,16103961,16.10,cp
1996,123419,0.12,cr
1997,119993,0.12,cr
1998,125164,0.13,cr
1999,122695,0.12,cr
2000,91202,0.09,cr
2001,109776,0.11,cr
2002,157101,0.16,cr
2003,151414,0.15,cr
2004,110936,0.11,cr
2005,99887,0.10,cr
2006,90289,0.09,cr
2007,105270,0.11,cr
2008,122467,0.12,cr
2009,121066,0.12,cr
2010,163639,0.16,cr
2011,143218,0.14,cr
2012,160534,0.16,cr
2013,168838,0.17,cr
2014,141980,0.14,cr
2015,120145,0.12,cr
1996,10933103Ê,10.93,tc
1997,12487937,12.49,tc
1998,12935681,12.94,tc
1999,13129349,13.13,tc
2000,12983983,12.98,tc
2001,10652796,10.65,tc
2002,10876167,10.88,tc
2003,10768698,10.77,tc
2004,11093733,11.09,tc
2005,12766005,12.77,tc
2006,11637144,11.64,tc
2007,13133457,13.13,tc
2008,13917431,13.92,tc
2009,12215312,12.22,tc
2010,12767368,12.77,tc
2011,13344307,13.34,tc
2012,14097220,14.10,tc
2013,14701662,14.70,tc
2014,15175927,15.18,tc
2015,16620950,16.62,tc
