year,rgn_id,stock_key,licenses,catch,island,mus,family,species
2013,1,Alfonsin_BMUS,5,54,Hawaii,BMUS,Berycidae,Alfonsin
2014,1,Alfonsin_BMUS,4,16,Hawaii,BMUS,Berycidae,Alfonsin
2013,1,Butaguchi ulua_BMUS,3,27,Hawaii,BMUS,Carangidae,Butaguchi ulua
2012,1,Ehu_BMUS,97,7838,Hawaii,BMUS,Lutjanidae,Ehu
2013,1,Ehu_BMUS,93,11963,Hawaii,BMUS,Lutjanidae,Ehu
2014,1,Ehu_BMUS,96,7959,Hawaii,BMUS,Lutjanidae,Ehu
2015,1,Ehu_BMUS,74,11090,Hawaii,BMUS,Lutjanidae,Ehu
2016,1,Ehu_BMUS,74,6124,Hawaii,BMUS,Lutjanidae,Ehu
2012,1,Gindai_BMUS,72,1671,Hawaii,BMUS,Lutjanidae,Gindai
2013,1,Gindai_BMUS,73,2035,Hawaii,BMUS,Lutjanidae,Gindai
2014,1,Gindai_BMUS,61,1505,Hawaii,BMUS,Lutjanidae,Gindai
2015,1,Gindai_BMUS,49,1229,Hawaii,BMUS,Lutjanidae,Gindai
2016,1,Gindai_BMUS,58,841,Hawaii,BMUS,Lutjanidae,Gindai
2012,1,Gunkan ulua_BMUS,3,60,Hawaii,BMUS,Carangidae,Gunkan ulua
2013,1,Gunkan ulua_BMUS,5,132,Hawaii,BMUS,Carangidae,Gunkan ulua
2016,1,Gunkan ulua_BMUS,3,140,Hawaii,BMUS,Carangidae,Gunkan ulua
2012,1,Hapuupuu_BMUS,54,2749,Hawaii,BMUS,Serranidae,Hapuupuu
2013,1,Hapuupuu_BMUS,58,3363,Hawaii,BMUS,Serranidae,Hapuupuu
2014,1,Hapuupuu_BMUS,49,2050,Hawaii,BMUS,Serranidae,Hapuupuu
2015,1,Hapuupuu_BMUS,39,2623,Hawaii,BMUS,Serranidae,Hapuupuu
2016,1,Hapuupuu_BMUS,45,2452,Hawaii,BMUS,Serranidae,Hapuupuu
2012,1,Kahala_BMUS,35,1322,Hawaii,BMUS,Carangidae,Kahala
2013,1,Kahala_BMUS,34,2077,Hawaii,BMUS,Carangidae,Kahala
2014,1,Kahala_BMUS,26,1152,Hawaii,BMUS,Carangidae,Kahala
2015,1,Kahala_BMUS,21,2554,Hawaii,BMUS,Carangidae,Kahala
2016,1,Kahala_BMUS,27,7207,Hawaii,BMUS,Carangidae,Kahala
2012,1,Kalekale_BMUS,80,3479,Hawaii,BMUS,Lutjanidae,Kalekale
2013,1,Kalekale_BMUS,85,6933,Hawaii,BMUS,Lutjanidae,Kalekale
2014,1,Kalekale_BMUS,89,7165,Hawaii,BMUS,Lutjanidae,Kalekale
2015,1,Kalekale_BMUS,80,5749,Hawaii,BMUS,Lutjanidae,Kalekale
2016,1,Kalekale_BMUS,71,4502,Hawaii,BMUS,Lutjanidae,Kalekale
2012,1,Lehi_BMUS,83,5494,Hawaii,BMUS,Lutjanidae,Lehi
2013,1,Lehi_BMUS,71,9888,Hawaii,BMUS,Lutjanidae,Lehi
2014,1,Lehi_BMUS,72,4718,Hawaii,BMUS,Lutjanidae,Lehi
2015,1,Lehi_BMUS,79,5716,Hawaii,BMUS,Lutjanidae,Lehi
2016,1,Lehi_BMUS,76,6073,Hawaii,BMUS,Lutjanidae,Lehi
2012,1,Onaga_BMUS,63,6799,Hawaii,BMUS,Lutjanidae,Onaga
2013,1,Onaga_BMUS,71,10435,Hawaii,BMUS,Lutjanidae,Onaga
2014,1,Onaga_BMUS,70,9860,Hawaii,BMUS,Lutjanidae,Onaga
2015,1,Onaga_BMUS,66,6748,Hawaii,BMUS,Lutjanidae,Onaga
2016,1,Onaga_BMUS,61,12121,Hawaii,BMUS,Lutjanidae,Onaga
2012,1,Opakapaka_BMUS,123,20533,Hawaii,BMUS,Lutjanidae,Opakapaka
2013,1,Opakapaka_BMUS,123,26819,Hawaii,BMUS,Lutjanidae,Opakapaka
2014,1,Opakapaka_BMUS,126,32921,Hawaii,BMUS,Lutjanidae,Opakapaka
2015,1,Opakapaka_BMUS,115,28686,Hawaii,BMUS,Lutjanidae,Opakapaka
2016,1,Opakapaka_BMUS,113,36125,Hawaii,BMUS,Lutjanidae,Opakapaka
2012,1,Taape_BMUS,99,8060,Hawaii,BMUS,Lutjanidae,Taape
2013,1,Taape_BMUS,96,4882,Hawaii,BMUS,Lutjanidae,Taape
2014,1,Taape_BMUS,80,3490,Hawaii,BMUS,Lutjanidae,Taape
2015,1,Taape_BMUS,73,3107,Hawaii,BMUS,Lutjanidae,Taape
2016,1,Taape_BMUS,68,3610,Hawaii,BMUS,Lutjanidae,Taape
2012,1,Uku_BMUS,119,9518,Hawaii,BMUS,Lutjanidae,Uku
2013,1,Uku_BMUS,125,11998,Hawaii,BMUS,Lutjanidae,Uku
2014,1,Uku_BMUS,115,13894,Hawaii,BMUS,Lutjanidae,Uku
2015,1,Uku_BMUS,133,16984,Hawaii,BMUS,Lutjanidae,Uku
2016,1,Uku_BMUS,137,19236,Hawaii,BMUS,Lutjanidae,Uku
2012,1,White ulua_BMUS,26,2138,Hawaii,BMUS,Carangidae,White ulua
2013,1,White ulua_BMUS,23,1130,Hawaii,BMUS,Carangidae,White ulua
2014,1,White ulua_BMUS,13,929,Hawaii,BMUS,Carangidae,White ulua
2015,1,White ulua_BMUS,22,941,Hawaii,BMUS,Carangidae,White ulua
2016,1,White ulua_BMUS,17,1325,Hawaii,BMUS,Carangidae,White ulua
2012,1,Aawa_CHCR,59,2448,Hawaii,CHCR,Labridae,Aawa
2013,1,Aawa_CHCR,58,1920,Hawaii,CHCR,Labridae,Aawa
2014,1,Aawa_CHCR,44,1359,Hawaii,CHCR,Labridae,Aawa
