rgn_id,species,category,type,Family,stock,year,value,ref
1,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2010,0.92,SPC
2,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2010,0.92,SPC
3,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2010,0.92,SPC
4,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2010,0.92,SPC
1,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2011,0.86,SPC
2,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2011,0.86,SPC
3,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2011,0.86,SPC
4,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2011,0.86,SPC
1,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2012,0.79,SPC
2,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2012,0.79,SPC
3,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2012,0.79,SPC
4,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2012,0.79,SPC
1,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2013,0.87,regression gap fill
2,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2013,0.87,regression gap fill
3,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2013,0.87,regression gap fill
4,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2013,0.87,regression gap fill
1,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2014,0.85,regression gap fill
2,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2014,0.85,regression gap fill
3,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2014,0.85,regression gap fill
4,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2014,0.85,regression gap fill
1,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2015,0.82,regression gap fill
2,Bigeye tuna,tunas,pelagic,Scombridae,Thunnus obesus,2015,0.82,regression gap fill
