year,rgn_id,island,mus,family,species,licenses,lbs
2012,1,Hawaii,CHCRT,Carangidae,Akule,58,18902
2012,1,Hawaii,CHCRT,Carangidae,Opelu,83,153202
2012,1,Hawaii,CHCRT,Scaridae,Uhu parrot-misc.,38,14003
2012,1,Hawaii,CHCRT,Holocentridae,Menpachi,102,23716
2012,1,Hawaii,CHCRT,Mullidae,Weke ula,36,439
2012,1,Hawaii,CHCRT,Acanthuridae,Palani,20,1349
2012,1,Hawaii,CHCRT,Acanthuridae,Kala,16,348
2012,1,Hawaii,CHCRT,Kyphosidae,Nenue,35,845
2012,1,Hawaii,CHCRT,Carangidae,Hahalalu,6,278
2012,1,Hawaii,CHCRT,Acanthuridae,Manini,23,1882
2012,1,Hawaii,CHCRT,Acanthuridae,Pualu,9,693
2012,1,Hawaii,CHCRT,Acanthuridae,Naenae,9,77
2012,1,Hawaii,CHCRT,Mullidae,Weke nono,28,822
2012,1,Hawaii,CHCRT,Priacanthidae,Aweoweo,56,1651
2012,1,Hawaii,CHCRT,Mullidae,Weke a'a,13,157
2012,1,Hawaii,CHCRT,Mullidae,Kumu,33,1859
2012,1,Hawaii,CHCRT,Acanthuridae,Opelu kala,26,2148
2012,1,Hawaii,CHCRT,Mullidae,Moana,58,2515
2012,1,Hawaii,CHCRT,Acanthuridae,Maiko,12,234
2012,1,Hawaii,CHCRT,Labridae,Aawa,59,2448
2012,1,Hawaii,CHCRT,Acanthuridae,Umaumalei,11,435
2012,1,Hawaii,CHCRT,Labridae,Laenihi,36,873
2012,1,Hawaii,CHCRT,Sphyraenidae,Kawelea,36,867
2012,1,Hawaii,CHCRT,Acanthuridae,Kole,23,1619
2012,1,Hawaii,CHCRT,Kuhliidae,Aholehole,15,591
2012,1,Hawaii,CHCRT,Carcharhinidae,Shark-misc.,13,304
2012,1,Hawaii,CHCRT,Sphyraenidae,Kaku,19,303
2012,1,Hawaii,CHCRT,Mullidae,Moana kale,38,1201
2012,1,Hawaii,CHCRT,Balistidae,Humuhumu,10,152
2012,1,Hawaii,CHCRT,Mullidae,Munu,21,301
2012,1,Hawaii,CHCRT,Holocentridae,Alaihe,18,218
2012,1,Hawaii,CHCRT,Mugilidae,Uouoa,6,200
2012,1,Hawaii,CHCRT,Acanthuridae,Pakuikui (tang),7,308
2012,1,Hawaii,CHCRT,Mullidae,Malu,7,28
2012,1,Hawaii,CHCRT,Scaridae,Panuhunuhu,3,12
2012,1,Hawaii,CHCRT,Acanthuridae,Api,5,35
2012,1,Hawaii,CHCRT,Labridae,Poou,3,20
2012,1,Hawaii,CHCRT,Holocentridae,Alaihe mama,8,67
2013,1,Hawaii,CHCRT,Carangidae,Akule,59,14982
2013,1,Hawaii,CHCRT,Carangidae,Opelu,77,131477
2013,1,Hawaii,CHCRT,Scaridae,Uhu parrot-misc.,24,7611
2013,1,Hawaii,CHCRT,Holocentridae,Menpachi,90,23791
2013,1,Hawaii,CHCRT,Mullidae,Weke ula,28,420
2013,1,Hawaii,CHCRT,Acanthuridae,Palani,16,1545
2013,1,Hawaii,CHCRT,Acanthuridae,Kala,12,432
2013,1,Hawaii,CHCRT,Kyphosidae,Nenue,24,968
2013,1,Hawaii,CHCRT,Acanthuridae,Manini,12,2655
2013,1,Hawaii,CHCRT,Acanthuridae,Pualu,7,563
2013,1,Hawaii,CHCRT,Acanthuridae,Naenae,5,110
2013,1,Hawaii,CHCRT,Mullidae,Weke nono,35,644
