rgn_id,species,type,Family,stock,year,FMSY (relative fishing mortality),sb,sbmsy,score,ref
1,Tombo,pelagic,Scombridae,Thunnus alalunga,2012,,"110,101",49680,2.22,ISC; http://isc.fra.go.jp/pdf/ISC14/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf
1,Tombo,pelagic,Scombridae,Thunnus alalunga,2011,,"110,655",49680,2.23,ISC; http://isc.fra.go.jp/pdf/ISC14/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf
1,Tombo,pelagic,Scombridae,Thunnus alalunga,2010,,"109,212",49680,2.2,ISC; http://isc.fra.go.jp/pdf/ISC14/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf
1,Tombo,pelagic,Scombridae,Thunnus alalunga,2009,,"105,012",49680,2.11,ISC; http://isc.fra.go.jp/pdf/ISC14/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf
1,Tombo,pelagic,Scombridae,Thunnus alalunga,2008,,"98,562",49680,1.98,ISC; http://isc.fra.go.jp/pdf/ISC14/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf
1,Yellowfin tuna,pelagic,Scombridae,Thunnus albacares,2012,,,,1.22,SPC
1,Yellowfin tuna,pelagic,Scombridae,Thunnus albacares,2011,,,,1.3,SPC
1,Yellowfin tuna,pelagic,Scombridae,Thunnus albacares,2010,,,,1.33,SPC
1,Yellowfin tuna,pelagic,Scombridae,Thunnus albacares,2009,,,,1.46,SPC
1,Yellowfin tuna,pelagic,Scombridae,Thunnus albacares,2008,,,,1.41,SPC
1,Bigeye tuna,pelagic,Scombridae,Thunnus obesus,2012,,,,0.79,SPC
1,Bigeye tuna,pelagic,Scombridae,Thunnus obesus,2011,,,,0.86,SPC
1,Bigeye tuna,pelagic,Scombridae,Thunnus obesus,2010,,,,0.92,SPC
1,Bigeye tuna,pelagic,Scombridae,Thunnus obesus,2009,,,,0.98,SPC
1,Bigeye tuna,pelagic,Scombridae,Thunnus obesus,2008,,,,1.01,SPC
1,Swordfish,pelagic,Xiphiidae,Xiphias gladius,2012,,,,1.2,2014 stock assessment ISCT for West and Central North Pacific
1,Swordfish,pelagic,Xiphiidae,Xiphias gladius,2011,,,,1.13,2014 stock assessment ISCT for West and Central North Pacific
1,Swordfish,pelagic,Xiphiidae,Xiphias gladius,2010,,,,1.14,2014 stock assessment ISCT for West and Central North Pacific
1,Swordfish,pelagic,Xiphiidae,Xiphias gladius,2009,,,,1.13,2014 stock assessment ISCT for West and Central North Pacific
1,Swordfish,pelagic,Xiphiidae,Xiphias gladius,2008,,,,1.13,2014 stock assessment ISCT for West and Central North Pacific
1,Striped marlin,pelagic,Istiophoridae,Kajikia audax,2013,,1094,2819,0.39,ISC
1,Striped marlin,pelagic,Istiophoridae,Kajikia audax,2012,,1013,2819,0.36,ISC
1,Striped marlin,pelagic,Istiophoridae,Kajikia audax,2011,,873,2819,0.31,ISC
1,Striped marlin,pelagic,Istiophoridae,Kajikia audax,2010,,984,2819,0.35,ISC
1,Striped marlin,pelagic,Istiophoridae,Kajikia audax,2009,,970,2819,0.34,ISC
1,Striped marlin,pelagic,Istiophoridae,Kajikia audax,2008,,1171,2819,0.42,ISC
1,Striped marlin,pelagic,Istiophoridae,Kajikia audax,2007,,1192,2819,0.42,ISC
1,Blue marlin,pelagic,Istiophoridae,Makaira nigricans,2014,0.87,"24,809",,1.25,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,Blue marlin,pelagic,Istiophoridae,Makaira nigricans,2013,0.87,"24,771",,1.25,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,Blue marlin,pelagic,Istiophoridae,Makaira nigricans,2012,0.83,"23,432",,1.18,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,Blue marlin,pelagic,Istiophoridae,Makaira nigricans,2011,0.82,"23,182",,1.17,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,Blue marlin,pelagic,Istiophoridae,Makaira nigricans,2010,0.92,"22,392",,1.13,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
1,Blue marlin,pelagic,Istiophoridae,Makaira nigricans,2009,0.88,"23,065",,1.16,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf
