rgn_id,sector,weight
1,Marine Construction,0
1,Living Resources,0.01
1,Ship and Boat Building,0
1,Tourism and Recreation,0.99
1,Marine Transportation,0
2,Marine Construction,0.003
2,Living Resources,0.002
2,Ship and Boat Building,0
2,Tourism and Recreation,0.99
2,Marine Transportation,0
3,Marine Construction,0.008
3,Living Resources,0.013
3,Ship and Boat Building,0.072
3,Tourism and Recreation,0.853
3,Marine Transportation,0.055
4,Marine Construction,0
4,Living Resources,0.009
4,Ship and Boat Building,0
4,Tourism and Recreation,0.991
4,Marine Transportation,0
