rgn_id,species,catch,year
1,Aku,576250,2014
1,Aku,1190750,2013
1,Aku,901655,2012
1,Aku,1101922,2011
1,Aku,412473,2010
1,Bigeye tuna,15764381,2014
1,Bigeye tuna,15788071,2013
1,Bigeye tuna,14318575,2012
1,Bigeye tuna,13280975,2011
1,Bigeye tuna,13114533,2010
1,Black marlin,24783,2014
1,Black marlin,12317,2013
1,Black marlin,9098,2012
1,Black marlin,10030,2011
1,Black marlin,5010,2010
1,Blue marlin,1265348,2014
1,Blue marlin,1254163,2013
1,Blue marlin,994685,2012
1,Blue marlin,1332934,2011
1,Blue marlin,1000036,2010
1,Bluefin,1016,2014
1,Bluefin,1447,2013
1,Bluefin,1226,2012
1,Bluefin,430,2011
1,Kaku,18076,2014
1,Kaku,24469,2013
1,Kaku,20389,2012
1,Kaku,58145,2011
1,Kaku,27139,2010
1,Kawakawa,26297,2014
1,Kawakawa,9794,2013
1,Kawakawa,6912,2012
1,Kawakawa,6111,2011
1,Kawakawa,9070,2010
1,Keokeo,38,2013
1,Keokeo,95,2013
1,Keokeo,100,2012
1,Keokeo,39,2011
1,Keokeo,69,2010
1,Mahimahi,1824432,2014
1,Mahimahi,1642333,2013
1,Mahimahi,2080741,2012
1,Mahimahi,1667830,2011
1,Mahimahi,1669479,2010
1,Monchong,1213344,2014
1,Monchong,1184550,2013
1,Monchong,776833,2012
1,Monchong,458516,2011
1,Monchong,594830,2010
1,Ono,1159299,2014
1,Ono,901198,2013
1,Ono,826935,2012
1,Ono,694146,2011
1,Ono,740854,2010
1,Opah,1974222,2014
1,Opah,2124938,2013
1,Opah,1660230,2012
1,Opah,162110,2011
1,Opah,1808992,2010
1,Sailfish,34877,2014
1,Sailfish,30908,2013
1,Sailfish,22432,2012
1,Sailfish,37563,2011
1,Sailfish,33095,2010
1,Shortbill spearfish,502129,2014
1,Shortbill spearfish,505719,2013
1,Shortbill spearfish,404732,2012
1,Shortbill spearfish,558265,2011
1,Shortbill spearfish,283405,2010
1,Striped marln,1066826,2014
1,Striped marln,967596,2013
1,Striped marln,686835,2012
1,Striped marln,904976,2011
1,Striped marln,344370,2010
1,Swordfish,2463947,2014
1,Swordfish,1764350,2013
