rgn_id,year,key_sp,catch,Fam,code
1,2012,Cara_Akule,18902,Cara,coast_pelagic
1,2013,Cara_Akule,14982,Cara,coast_pelagic
1,2014,Cara_Akule,13005,Cara,coast_pelagic
1,2015,Cara_Akule,17708,Cara,coast_pelagic
1,2016,Cara_Akule,20069,Cara,coast_pelagic
1,2013,Cara_Dobe ulua,157,Cara,coast_pelagic
1,2014,Cara_Dobe ulua,471,Cara,coast_pelagic
1,2012,Cara_Hahalalu,278,Cara,coast_pelagic
1,2014,Cara_Hahalalu,55,Cara,coast_pelagic
1,2015,Cara_Hahalalu,244,Cara,coast_pelagic
1,2016,Cara_Hahalalu,534,Cara,coast_pelagic
1,2012,Cara_Kamanu,2416,Cara,coast_pelagic
1,2013,Cara_Kamanu,1473,Cara,coast_pelagic
1,2014,Cara_Kamanu,2932,Cara,coast_pelagic
1,2015,Cara_Kamanu,1484,Cara,coast_pelagic
1,2016,Cara_Kamanu,2189,Cara,coast_pelagic
1,2012,Cara_Lae,4,Cara,coast_pelagic
1,2013,Cara_Lae,6,Cara,coast_pelagic
1,2014,Cara_Lae,5,Cara,coast_pelagic
1,2015,Cara_Lae,10,Cara,coast_pelagic
1,2012,Cara_Omilu,1268,Cara,coast_pelagic
1,2013,Cara_Omilu,557,Cara,coast_pelagic
1,2014,Cara_Omilu,420,Cara,coast_pelagic
1,2015,Cara_Omilu,609,Cara,coast_pelagic
1,2016,Cara_Omilu,490,Cara,coast_pelagic
1,2012,Cara_Opelu,153202,Cara,coast_pelagic
1,2013,Cara_Opelu,131477,Cara,coast_pelagic
1,2014,Cara_Opelu,152367,Cara,coast_pelagic
1,2015,Cara_Opelu,156360,Cara,coast_pelagic
1,2016,Cara_Opelu,103566,Cara,coast_pelagic
1,2013,Cara_Opelu mama,42,Cara,coast_pelagic
1,2014,Cara_Opelu mama,37,Cara,coast_pelagic
1,2012,Cara_Papa ulua,32,Cara,coast_pelagic
1,2013,Cara_Papa ulua,152,Cara,coast_pelagic
1,2014,Cara_Papa ulua,137,Cara,coast_pelagic
1,2015,Cara_Papa ulua,60,Cara,coast_pelagic
1,2016,Cara_Papa ulua,222,Cara,coast_pelagic
1,2012,Cara_Sasa ulua,58,Cara,coast_pelagic
1,2013,Cara_Sasa ulua,158,Cara,coast_pelagic
1,2015,Cara_Sasa ulua,268,Cara,coast_pelagic
1,2014,Cara_Ulua-misc.,105,Cara,coast_pelagic
1,2015,Cara_Ulua-misc.,237,Cara,coast_pelagic
1,2012,Carc_Shark-misc.,304,Carc,coast_pelagic
1,2013,Carc_Shark-misc.,210,Carc,coast_pelagic
1,2014,Carc_Shark-misc.,103,Carc,coast_pelagic
1,2015,Carc_Shark-misc.,0,Carc,coast_pelagic
1,2016,Carc_Shark-misc.,249,Carc,coast_pelagic
2,2012,Cara_Akule,30101,Cara,coast_pelagic
2,2013,Cara_Akule,38610,Cara,coast_pelagic
2,2014,Cara_Akule,32013,Cara,coast_pelagic
2,2015,Cara_Akule,30937,Cara,coast_pelagic
2,2016,Cara_Akule,142269,Cara,coast_pelagic
2,2012,Cara_Dobe ulua,1139,Cara,coast_pelagic
2,2013,Cara_Dobe ulua,1768,Cara,coast_pelagic
2,2014,Cara_Dobe ulua,139,Cara,coast_pelagic
2,2015,Cara_Dobe ulua,458,Cara,coast_pelagic
2,2016,Cara_Dobe ulua,124,Cara,coast_pelagic
2,2012,Cara_Kagami ulua,252,Cara,coast_pelagic
2,2013,Cara_Kagami ulua,57,Cara,coast_pelagic
2,2014,Cara_Kagami ulua,61,Cara,coast_pelagic
2,2015,Cara_Kagami ulua,41,Cara,coast_pelagic
2,2012,Cara_Kamanu,606,Cara,coast_pelagic
2,2013,Cara_Kamanu,742,Cara,coast_pelagic
2,2014,Cara_Kamanu,1115,Cara,coast_pelagic
2,2015,Cara_Kamanu,1662,Cara,coast_pelagic
2,2016,Cara_Kamanu,2054,Cara,coast_pelagic
2,2012,Cara_Lae,8,Cara,coast_pelagic
2,2013,Cara_Lae,14,Cara,coast_pelagic
2,2015,Cara_Lae,4,Cara,coast_pelagic
2,2012,Cara_Omilu,2458,Cara,coast_pelagic
2,2013,Cara_Omilu,1637,Cara,coast_pelagic
2,2014,Cara_Omilu,1502,Cara,coast_pelagic
2,2015,Cara_Omilu,1885,Cara,coast_pelagic
2,2016,Cara_Omilu,1958,Cara,coast_pelagic
2,2012,Cara_Opelu,16140,Cara,coast_pelagic
2,2013,Cara_Opelu,21701,Cara,coast_pelagic
2,2014,Cara_Opelu,18891,Cara,coast_pelagic
2,2015,Cara_Opelu,8450,Cara,coast_pelagic
2,2016,Cara_Opelu,6865,Cara,coast_pelagic
2,2012,Cara_Papa ulua,10579,Cara,coast_pelagic
2,2013,Cara_Papa ulua,5537,Cara,coast_pelagic
2,2014,Cara_Papa ulua,6016,Cara,coast_pelagic
2,2015,Cara_Papa ulua,7640,Cara,coast_pelagic
2,2016,Cara_Papa ulua,8294,Cara,coast_pelagic
2,2012,Cara_Sasa ulua,224,Cara,coast_pelagic
2,2013,Cara_Sasa ulua,64,Cara,coast_pelagic
2,2016,Cara_Sasa ulua,380,Cara,coast_pelagic
2,2014,Cara_Ulua-misc.,1229,Cara,coast_pelagic
2,2015,Cara_Ulua-misc.,1629,Cara,coast_pelagic
