rgn_id,year,a_wage
1,2013,38130
2,2013,39042
3,2013,45711
4,2013,39059
1,2012,37351
2,2012,38758
3,2012,45267
4,2012,38333
1,2011,36566
2,2011,38094
3,2011,44248
4,2011,38033
1,2010,36421
2,2010,37557
3,2010,43340
4,2010,37461
1,2009,36560
2,2009,37730
3,2009,42838
4,2009,37269
