rgn_id,acres flooded,flood_pressure,reference
1,4550,0.00680942,% of area within 1km of the coastline flooded
2,6100,0.007739167,% of area within 1km of the coastline flooded
3,9400,0.030387537,% of area within 1km of the coastline flooded
4,5760,0.015921832,% of area within 1km of the coastline flooded
