year,rgn_id,stock_key,licenses,catch
2013,1,Alfonsin_BMUS,5,54
2014,1,Alfonsin_BMUS,4,16
2013,1,Butaguchi ulua_BMUS,3,27
2012,1,Ehu_BMUS,97,7838
2013,1,Ehu_BMUS,93,11963
2014,1,Ehu_BMUS,96,7959
2015,1,Ehu_BMUS,74,11090
2016,1,Ehu_BMUS,74,6124
2012,1,Gindai_BMUS,72,1671
2013,1,Gindai_BMUS,73,2035
2014,1,Gindai_BMUS,61,1505
2015,1,Gindai_BMUS,49,1229
2016,1,Gindai_BMUS,58,841
2012,1,Gunkan ulua_BMUS,3,60
2013,1,Gunkan ulua_BMUS,5,132
2016,1,Gunkan ulua_BMUS,3,140
2012,1,Hapuupuu_BMUS,54,2749
2013,1,Hapuupuu_BMUS,58,3363
2014,1,Hapuupuu_BMUS,49,2050
2015,1,Hapuupuu_BMUS,39,2623
2016,1,Hapuupuu_BMUS,45,2452
2012,1,Kahala_BMUS,35,1322
2013,1,Kahala_BMUS,34,2077
2014,1,Kahala_BMUS,26,1152
2015,1,Kahala_BMUS,21,2554
2016,1,Kahala_BMUS,27,7207
2012,1,Kalekale_BMUS,80,3479
2013,1,Kalekale_BMUS,85,6933
2014,1,Kalekale_BMUS,89,7165
2015,1,Kalekale_BMUS,80,5749
2016,1,Kalekale_BMUS,71,4502
2012,1,Lehi_BMUS,83,5494
2013,1,Lehi_BMUS,71,9888
2014,1,Lehi_BMUS,72,4718
2015,1,Lehi_BMUS,79,5716
2016,1,Lehi_BMUS,76,6073
2012,1,Onaga_BMUS,63,6799
2013,1,Onaga_BMUS,71,10435
2014,1,Onaga_BMUS,70,9860
2015,1,Onaga_BMUS,66,6748
2016,1,Onaga_BMUS,61,12121
2012,1,Opakapaka_BMUS,123,20533
2013,1,Opakapaka_BMUS,123,26819
2014,1,Opakapaka_BMUS,126,32921
2015,1,Opakapaka_BMUS,115,28686
2016,1,Opakapaka_BMUS,113,36125
2012,1,Taape_BMUS,99,8060
2013,1,Taape_BMUS,96,4882
2014,1,Taape_BMUS,80,3490
2015,1,Taape_BMUS,73,3107
2016,1,Taape_BMUS,68,3610
2012,1,Uku_BMUS,119,9518
2013,1,Uku_BMUS,125,11998
2014,1,Uku_BMUS,115,13894
2015,1,Uku_BMUS,133,16984
2016,1,Uku_BMUS,137,19236
2012,1,White ulua_BMUS,26,2138
2013,1,White ulua_BMUS,23,1130
2014,1,White ulua_BMUS,13,929
2015,1,White ulua_BMUS,22,941
2016,1,White ulua_BMUS,17,1325
2012,1,Aawa_CHCR,59,2448
2013,1,Aawa_CHCR,58,1920
2014,1,Aawa_CHCR,44,1359
2015,1,Aawa_CHCR,34,1024
2016,1,Aawa_CHCR,45,1902
2012,1,Aholehole_CHCR,15,591
