category,family,species
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
reef,Labridae,Aawa
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
coastal_pelagics,Belonidae,Ahaaha
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
reef,Kuhliidae,Aholehole
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
tunas,Scombridae,Aku
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
coastal_pelagics,Scombridae,Akule
