year,rgn_id,island,code,mus,family,X6,species,licenses,catch
2013,1,Hawaii,B,BMUS,Berycidae,NA,Alfonsin,5,54
2014,1,Hawaii,B,BMUS,Berycidae,NA,Alfonsin,4,16
2013,1,Hawaii,C,BMUS,Carangidae,NA,Butaguchi ulua,3,27
2012,2,Maui County,C,BMUS,Carangidae,NA,Butaguchi ulua,6,80
2013,2,Maui County,C,BMUS,Carangidae,NA,Butaguchi ulua,4,44
2016,2,Maui County,C,BMUS,Carangidae,NA,Butaguchi ulua,3,105
2014,3,Oahu,C,BMUS,Carangidae,NA,Butaguchi ulua,4,148
2015,3,Oahu,C,BMUS,Carangidae,NA,Butaguchi ulua,5,48
2012,4,Kauai County,C,BMUS,Carangidae,NA,Butaguchi ulua,8,485
2013,4,Kauai County,C,BMUS,Carangidae,NA,Butaguchi ulua,3,388
2015,4,Kauai County,C,BMUS,Carangidae,NA,Butaguchi ulua,4,144
2014,2,Penguin Bank,C,BMUS,Carangidae,NA,Butaguchi ulua,3,62
2012,1,Hawaii,C,BMUS,Carangidae,NA,Gunkan ulua,3,60
2013,1,Hawaii,C,BMUS,Carangidae,NA,Gunkan ulua,5,132
2016,1,Hawaii,C,BMUS,Carangidae,NA,Gunkan ulua,3,140
2012,2,Maui County,C,BMUS,Carangidae,NA,Gunkan ulua,3,88
2014,2,Maui County,C,BMUS,Carangidae,NA,Gunkan ulua,3,100
2012,3,Oahu,C,BMUS,Carangidae,NA,Gunkan ulua,6,194
2012,4,Kauai County,C,BMUS,Carangidae,NA,Gunkan ulua,5,140
2013,4,Kauai County,C,BMUS,Carangidae,NA,Gunkan ulua,6,486
2014,4,Kauai County,C,BMUS,Carangidae,NA,Gunkan ulua,5,216
2015,4,Kauai County,C,BMUS,Carangidae,NA,Gunkan ulua,5,143
2016,4,Kauai County,C,BMUS,Carangidae,NA,Gunkan ulua,3,130
2012,1,Hawaii,C,BMUS,Carangidae,NA,Kahala,35,1322
2013,1,Hawaii,C,BMUS,Carangidae,NA,Kahala,34,2077
2014,1,Hawaii,C,BMUS,Carangidae,NA,Kahala,26,1152
2015,1,Hawaii,C,BMUS,Carangidae,NA,Kahala,21,2554
2016,1,Hawaii,C,BMUS,Carangidae,NA,Kahala,27,7207
2012,2,Maui County,C,BMUS,Carangidae,NA,Kahala,25,1955
2013,2,Maui County,C,BMUS,Carangidae,NA,Kahala,27,1229
2014,2,Maui County,C,BMUS,Carangidae,NA,Kahala,17,823
2015,2,Maui County,C,BMUS,Carangidae,NA,Kahala,24,893
2016,2,Maui County,C,BMUS,Carangidae,NA,Kahala,17,904
2012,3,Oahu,C,BMUS,Carangidae,NA,Kahala,36,3901
2013,3,Oahu,C,BMUS,Carangidae,NA,Kahala,36,2798
2014,3,Oahu,C,BMUS,Carangidae,NA,Kahala,36,4912
2015,3,Oahu,C,BMUS,Carangidae,NA,Kahala,42,4182
2016,3,Oahu,C,BMUS,Carangidae,NA,Kahala,38,2440
2012,4,Kauai County,C,BMUS,Carangidae,NA,Kahala,41,8687
2013,4,Kauai County,C,BMUS,Carangidae,NA,Kahala,29,6019
2014,4,Kauai County,C,BMUS,Carangidae,NA,Kahala,34,4844
2015,4,Kauai County,C,BMUS,Carangidae,NA,Kahala,35,7125
2016,4,Kauai County,C,BMUS,Carangidae,NA,Kahala,23,4623
2012,2,Penguin Bank,C,BMUS,Carangidae,NA,Kahala,24,1729
2013,2,Penguin Bank,C,BMUS,Carangidae,NA,Kahala,24,1071
2014,2,Penguin Bank,C,BMUS,Carangidae,NA,Kahala,21,1297
2015,2,Penguin Bank,C,BMUS,Carangidae,NA,Kahala,18,1804
2016,2,Penguin Bank,C,BMUS,Carangidae,NA,Kahala,21,2559
2012,1,Hawaii,C,BMUS,Carangidae,NA,White ulua,26,2138
2013,1,Hawaii,C,BMUS,Carangidae,NA,White ulua,23,1130
2014,1,Hawaii,C,BMUS,Carangidae,NA,White ulua,13,929
2015,1,Hawaii,C,BMUS,Carangidae,NA,White ulua,22,941
2016,1,Hawaii,C,BMUS,Carangidae,NA,White ulua,17,1325
2012,2,Maui County,C,BMUS,Carangidae,NA,White ulua,40,4603
2013,2,Maui County,C,BMUS,Carangidae,NA,White ulua,46,3475
2014,2,Maui County,C,BMUS,Carangidae,NA,White ulua,39,3341
2015,2,Maui County,C,BMUS,Carangidae,NA,White ulua,37,2315
2016,2,Maui County,C,BMUS,Carangidae,NA,White ulua,40,2764
2012,3,Oahu,C,BMUS,Carangidae,NA,White ulua,76,7980
2013,3,Oahu,C,BMUS,Carangidae,NA,White ulua,66,5749
2014,3,Oahu,C,BMUS,Carangidae,NA,White ulua,53,3725
2015,3,Oahu,C,BMUS,Carangidae,NA,White ulua,57,4304
2016,3,Oahu,C,BMUS,Carangidae,NA,White ulua,48,1918
