year,visitor_real_gdp,growth_rate,growth_target,score,rgn_id,rgn_name,average_visitors_day,average_domestic_visitors_day,average_inter-national_visitors_day,percent,county_gdp
2015,11796,-0.01,0.025,-1.49,3,Oahu,99782,57638,42144,46.64148756,5501.8298725776
2015,11796,-0.01,0.025,-1.49,1,Hawaii,31408,26794,4614,14.68116335,1731.7900287660002
2015,11796,-0.01,0.025,-1.49,4,Kauai,24533,22419,2114,11.46755541,1352.7128361635998
2015,11796,-0.01,0.025,-1.49,2,Maui Nui,58211,49174,9037,27.20979367,3209.6672613132
2014,11941,0.01,0.025,-0.71,3,Oahu,96440,56369,40071,46.76627048,5584.360358016801
2014,11941,0.01,0.025,-0.71,1,Hawaii,30172,25448,4724,14.63118948,1747.1103358068
2014,11941,0.01,0.025,-0.71,4,Kauai,23617,21725,1892,11.45249907,1367.5429139486998
2014,11941,0.01,0.025,-0.71,2,Maui Nui,55988,47534,8454,27.15004098,3241.9863934218
2013,11855,0,0.025,-1.02,3,Oahu,96054,57079,38974,47.34616219,5612.8875276245
2013,11855,0,0.025,-1.02,1,Hawaii,29255,24500,4755,14.42013841,1709.5074085055
2013,11855,0,0.025,-1.02,4,Kauai,23334,21689,1645,11.50160689,1363.5154968094998
2013,11855,0,0.025,-1.02,2,Maui Nui,54233,45944,8289,26.73209251,3169.0895670605
2012,11860,0.16,0.025,5.35,3,Oahu,97989,59760,38229,48.68611396,5774.173115656
2012,11860,0.16,0.025,5.35,1,Hawaii,28559,24057,4502,14.18946827,1682.870936822
2012,11860,0.16,0.025,5.35,4,Kauai,22318,20835,1484,11.08892277,1315.146240522
2012,11860,0.16,0.025,5.35,2,Maui Nui,52401,44235,8166,26.035495,3087.8097070000003
2011,10236,0.07,0.025,1.8,3,Oahu,97989,59760,38229,48.68611396,4983.5106249456
2011,10236,0.07,0.025,1.8,1,Hawaii,28559,24057,4502,14.18946827,1452.4339721172
2011,10236,0.07,0.025,1.8,4,Kauai,22318,20835,1484,11.08892277,1135.0621347372
2011,10236,0.07,0.025,1.8,2,Maui Nui,52401,44235,8166,26.035495,2664.9932682000003
