mus,category,family,species,catch,year
PMUS,tunas,Scombridae,Aku,576250,2014
PMUS,tunas,Scombridae,Aku,1190750,2013
PMUS,tunas,Scombridae,Aku,901655,2012
PMUS,tunas,Scombridae,Aku,1101922,2011
PMUS,tunas,Scombridae,Aku,412473,2010
PMUS,tunas,Scombridae,Bigeye tuna,15764381,2014
PMUS,tunas,Scombridae,Bigeye tuna,15788071,2013
PMUS,tunas,Scombridae,Bigeye tuna,14318575,2012
PMUS,tunas,Scombridae,Bigeye tuna,13280975,2011
PMUS,tunas,Scombridae,Bigeye tuna,13114533,2010
PMUS,pel_other,Istiophoridae,Black marlin,24783,2014
PMUS,pel_other,Istiophoridae,Black marlin,12317,2013
PMUS,pel_other,Istiophoridae,Black marlin,9098,2012
PMUS,pel_other,Istiophoridae,Black marlin,10030,2011
PMUS,pel_other,Istiophoridae,Black marlin,5010,2010
PMUS,pel_other,Istiophoridae,Blue marlin,1265348,2014
PMUS,pel_other,Istiophoridae,Blue marlin,1254163,2013
PMUS,pel_other,Istiophoridae,Blue marlin,994685,2012
PMUS,pel_other,Istiophoridae,Blue marlin,1332934,2011
PMUS,pel_other,Istiophoridae,Blue marlin,1000036,2010
PMUS,tunas,Scombridae,Bluefin,1016,2014
PMUS,tunas,Scombridae,Bluefin,1447,2013
PMUS,tunas,Scombridae,Bluefin,1226,2012
PMUS,tunas,Scombridae,Bluefin,430,2011
PMUS,pel_other,Sphyraenidae,Kaku,18076,2014
PMUS,pel_other,Sphyraenidae,Kaku,24469,2013
PMUS,pel_other,Sphyraenidae,Kaku,20389,2012
PMUS,pel_other,Sphyraenidae,Kaku,58145,2011
PMUS,pel_other,Sphyraenidae,Kaku,27139,2010
PMUS,tunas,Scombridae,Kawakawa,26297,2014
PMUS,tunas,Scombridae,Kawakawa,9794,2013
PMUS,tunas,Scombridae,Kawakawa,6912,2012
PMUS,tunas,Scombridae,Kawakawa,6111,2011
PMUS,tunas,Scombridae,Kawakawa,9070,2010
PMUS,tunas,Scombridae,Keokeo,38,2013
PMUS,tunas,Scombridae,Keokeo,95,2013
PMUS,tunas,Scombridae,Keokeo,100,2012
PMUS,tunas,Scombridae,Keokeo,39,2011
PMUS,tunas,Scombridae,Keokeo,69,2010
PMUS,pel_other,Coryphaenidae,Mahimahi,1824432,2014
PMUS,pel_other,Coryphaenidae,Mahimahi,1642333,2013
PMUS,pel_other,Coryphaenidae,Mahimahi,2080741,2012
PMUS,pel_other,Coryphaenidae,Mahimahi,1667830,2011
PMUS,pel_other,Coryphaenidae,Mahimahi,1669479,2010
PMUS,pel_other,Bramidae,Monchong,1213344,2014
PMUS,pel_other,Bramidae,Monchong,1184550,2013
PMUS,pel_other,Bramidae,Monchong,776833,2012
PMUS,pel_other,Bramidae,Monchong,458516,2011
PMUS,pel_other,Bramidae,Monchong,594830,2010
PMUS,pel_other,Scombridae,Ono,1159299,2014
PMUS,pel_other,Scombridae,Ono,901198,2013
PMUS,pel_other,Scombridae,Ono,826935,2012
PMUS,pel_other,Scombridae,Ono,694146,2011
PMUS,pel_other,Scombridae,Ono,740854,2010
PMUS,pel_other,Lampridae,Opah,1974222,2014
PMUS,pel_other,Lampridae,Opah,2124938,2013
PMUS,pel_other,Lampridae,Opah,1660230,2012
PMUS,pel_other,Lampridae,Opah,162110,2011
PMUS,pel_other,Lampridae,Opah,1808992,2010
PMUS,pel_other,Istiophoridae,Sailfish,34877,2014
PMUS,pel_other,Istiophoridae,Sailfish,30908,2013
PMUS,pel_other,Istiophoridae,Sailfish,22432,2012
PMUS,pel_other,Istiophoridae,Sailfish,37563,2011
PMUS,pel_other,Istiophoridae,Sailfish,33095,2010
PMUS,pel_other,Istiophoridae,Shortbill spearfish,502129,2014
PMUS,pel_other,Istiophoridae,Shortbill spearfish,505719,2013
PMUS,pel_other,Istiophoridae,Shortbill spearfish,404732,2012
PMUS,pel_other,Istiophoridae,Shortbill spearfish,558265,2011
PMUS,pel_other,Istiophoridae,Shortbill spearfish,283405,2010
PMUS,pel_other,Istiophoridae,Striped marln,1066826,2014
PMUS,pel_other,Istiophoridae,Striped marln,967596,2013
PMUS,pel_other,Istiophoridae,Striped marln,686835,2012
PMUS,pel_other,Istiophoridae,Striped marln,904976,2011
PMUS,pel_other,Istiophoridae,Striped marln,344370,2010
PMUS,pel_other,Xiphiidae,Swordfish,2463947,2014
PMUS,pel_other,Xiphiidae,Swordfish,1764350,2013
PMUS,pel_other,Xiphiidae,Swordfish,2379133,2012
PMUS,pel_other,Xiphiidae,Swordfish,2757027,2011
PMUS,pel_other,Xiphiidae,Swordfish,3147772,2010
PMUS,tunas,Scombridae,Tombo,500924,2014
PMUS,tunas,Scombridae,Tombo,823808,2013
PMUS,tunas,Scombridae,Tombo,1985953,2012
PMUS,tunas,Scombridae,Tombo,1669566,2011
PMUS,tunas,Scombridae,Tombo,915137,2010
PMUS,tunas,Scombridae,Unclassified,3025,2014
PMUS,tunas,Scombridae,Unclassified,779,2013
PMUS,tunas,Scombridae,Unclassified,2561,2012
PMUS,tunas,Scombridae,Unclassified,1714,2011
PMUS,tunas,Scombridae,Unclassified,16603,2010
PMUS,pel_other,,Unclassified,1980,2013
PMUS,pel_other,,Unclassified,1002,2012
PMUS,pel_other,,Unclassified,1541,2011
PMUS,pel_other,,Unclassified,421,2010
PMUS,pel_other,Exocoetidae,Walu,518367,2014
PMUS,pel_other,Exocoetidae,Walu,623987,2013
PMUS,pel_other,Exocoetidae,Walu,637179,2012
PMUS,pel_other,Exocoetidae,Walu,667637,2011
PMUS,pel_other,Exocoetidae,Walu,575260,2010
PMUS,tunas,Scombridae,Yellowfin tuna,3533959,2014
PMUS,tunas,Scombridae,Yellowfin tuna,3765030,2013
PMUS,tunas,Scombridae,Yellowfin tuna,4190340,2012
PMUS,tunas,Scombridae,Yellowfin tuna,3929867,2011
PMUS,tunas,Scombridae,Yellowfin tuna,2774639,2010
