rgn_id,habitat,health,reference
1,beach,0.28,Fletcher_et_al_2012
2,beach,0.15,Fletcher_et_al_2012
3,beach,0.4,Fletcher_et_al_2012
4,beach,0.29,Fletcher_et_al_2012
1,reef,0.81,NOAA report card
2,reef,0.7,NOAA report card
3,reef,0.6,NOAA report card
4,reef,0.61,NOAA report card
1,wetland,0.25,Rees & Reed 2014
2,wetland,0.75,Rees & Reed 2014
3,wetland,0.29,Rees & Reed 2014
4,wetland,0.85,Rees & Reed 2014
1,soft-bottom,0.61,percent of area dredged from cummulative impact study
2,soft-bottom,0.98,percent of area dredged from cummulative impact study
3,soft-bottom,0.49,percent of area dredged from cummulative impact study
4,soft-bottom,0.99,percent of area dredged from cummulative impact study
