RGN_ID,VALUE_0,VALUE>0,mm_area_km2,ref_area,prop_total area_rg,percent prefered hab,Value
1,3.37378E+11,41179680000,41179.68,390828,0.105365225,0.302687427,1
2,1.0014E+11,38292480000,38292.48,141206,0.271181678,0.28146533,0.92988775
3,93780000000,24887520000,24887.52,120107,0.207211237,0.182933412,0.604364094
4,1.84477E+11,31687200000,31687.2,327665,0.096706087,0.232913831,0.76948631
,,,136046.88,,,,
