rgn_id,fish_biomass,sustainability,pisc,sharks,overall
3, 61.4 , 64.0 , 39.7 , 40.0 , 50.6 
4, 76.9 , 100.0 , 76.6 , 66.1 , 74.1 
2, 72.7 , 78.9 , 65.6 , 40.0 , 62.7 
1, 75.0 , 84.4 , 70.3 , 65.2 , 71.4 
