name,rgn_id,Year,license,number
Hawaii,1,2012,,
Hawaii,1,2013,,
Hawaii,1,2014,,
Hawaii,1,2015,,
Hawaii,1,2016,,
Kauai,4,2012,,
Kauai,4,2013,,
Kauai,4,2014,4,"3,386"
Kauai,4,2015,4,"1,263"
Kauai,4,2016,,
Lanai,2,2012,,
Lanai,2,2013,,
Lanai,2,2014,,
Lanai,2,2015,,
Lanai,2,2016,,
Maui,2,2012,,
Maui,2,2013,,
Maui,2,2014,,
Maui,2,2015,,
Maui,2,2016,3,184
Molokai,2,2012,,
Molokai,2,2013,,
Molokai,2,2014,,
Molokai,2,2015,,
Molokai,2,2016,,
Oahu,3,2012,6,"5,701"
Oahu,3,2013,4,"4,304"
Oahu,3,2014,7,"3,577"
Oahu,3,2015,8,"4,609"
Oahu,3,2016,7,"1,761"
