Year,rng_id,rgn_name,average_visitor_days,average_domestic_visitor_days,average_inter-national_visitor_days
2014,3,Oahu,"96,440","56,369","40,071"
2014,1,Hawaii,"30,172","25,448","4,724"
2014,4,Kauai,"23,617","21,725","1,892"
2014,2,Maui Nui,"55,988","47,534","8,454"
2015,3,Oahu,"99,782","57,638","42,144"
2015,1,Hawaii,"31,408","26,794","4,614"
2015,4,Kauai,"24,533","22,419","2,114"
2015,2,Maui Nui,"58,211","49,174","9,037"
