year,visitor_real_gdp,growth_rate,growth_target,score
2015,11796,-0.01,0.025,-1.49
2014,11941,0.01,0.025,-0.71
2013,11855,0,0.025,-1.02
2012,11860,0.16,0.025,5.35
2011,10236,0.07,0.025,1.8
