year,direct_visitor_expenditures,Impicit price deflator,real_dollars
2010,12618.1,101.2195303,12466.07247
2011,13792.97454,103.0101073,13389.92348
2012,16201.46478,105.2515491,15393.08915
2013,16493.62987,107.1100522,15398.76932
2014,17012.97155,109.5998859,15522.80042
2015,17243.99153,112.3894916,15343.06392
2016,18071.30977,114.5593294,15774.62949
