Calendar Year,date time,Freshwater Capacity
2012,1/1/2012 0:00,-2
2013,1/1/2013 0:00,-1.5
2014,1/1/2014 0:00,-1
2015,1/1/2015 0:00,-0.5
2016,1/1/2016 0:00,0
