year,date time,# of Areas,acres,Active Managed Acres,percent
1949,12/31/2049 0:00,1,0,0.00,0
1953,12/31/1953 0:00,1,73.2,0.00,0
1961,12/31/1961 0:00,1,0.8,0.00,0
1967,12/31/1967 0:00,1,98.2,0.01,0.78
1969,12/31/1969 0:00,1,304.3,0.00,0.02
1970,12/31/1970 0:00,1,1499.8,0.00,0.09
1972,12/31/1972 0:00,2,10.3,0.00,0.09
1973,12/31/1973 0:00,1,775.6,0.00,0.13
1974,12/31/1974 0:00,2,249.7,0.00,0.14
1976,12/31/1976 0:00,1,274.7,0.00,0.15
1977,12/31/1977 0:00,1,86.4,0.00,0.15
1978,12/31/1978 0:00,5,975.2,0.00,0.2
1979,12/31/1979 0:00,1,124.5,0.00,0.2
1980,12/31/1980 0:00,1,1935.7,0.00,0.29
1981,12/31/1981 0:00,1,25.8,0.00,0.29
1983,12/31/1983 0:00,1,240.9,0.00,0.29
1984,12/31/1984 0:00,3,23.3,0.00,0.3
1985,12/31/1985 0:00,2,370.5,0.00,0.32
1988,12/31/1988 0:00,1,74.6,0.00,0.33
1989,12/31/1989 0:00,1,2,0.00,0.33
1990,12/31/1990 0:00,1,35.1,0.00,0.33
1991,12/31/1991 0:00,1,1737.4,0.00,0.41
1993,12/31/1993 0:00,1,49871.4,0.03,2.68
1997,12/31/1997 0:00,1,654.3,0.03,2.71
1998,12/31/1998 0:00,11,179208.6,0.11,10.86
1999,12/31/1999 0:00,1,48686.4,0.13,13.1
2002,12/31/2002 0:00,2,56.9,0.13,13.1
2003,12/31/2003 0:00,1,13.7,0.13,13.1
2009,12/31/2009 0:00,1,450.9,0.13,13.12
2016,,,,0.13,13.12
