Region,Location,Year,value
1,Hawaii,2009,57
1,Hawaii,2010,57
1,Hawaii,2012,49
1,Hawaii,2014,51
1,Hawaii,2015,49
2,Maui Nui,2009,57
2,Maui Nui,2010,57
2,Maui Nui,2012,49
2,Maui Nui,2014,51
2,Maui Nui,2015,49
3,Oahu,2009,57
3,Oahu,2010,57
3,Oahu,2012,49
3,Oahu,2014,51
3,Oahu,2015,49
4,Kauai,2009,57
4,Kauai,2010,57
4,Kauai,2012,49
4,Kauai,2014,51
4,Kauai,2015,49
