rgn_id,year,value,reference,updated 
1,2009,57,HTA,56
1,2010,57,HTA,57
1,2011,53.9694,regression,56.4253
1,2012,49,HTA,58
1,2013,51.2002,regression,55.8099
1,2014,51,HTA,55
1,2015,49,HTA,54.66666667
,,54,,
2,2009,57,HTA,
2,2010,57,HTA,
2,2011,53.9694,regression,
2,2012,49,HTA,
2,2013,51.2002,regression,
2,2014,51,HTA,
2,2015,49,HTA,
3,2009,57,HTA,
3,2010,57,HTA,
3,2011,53.9694,regression,
3,2012,49,HTA,
3,2013,51.2002,regression,
3,2014,51,HTA,
3,2015,49,HTA,
4,2009,57,HTA,
4,2010,57,HTA,
4,2011,53.9694,regression,
4,2012,49,HTA,
4,2013,51.2002,regression,
4,2014,51,HTA,
4,2015,49,HTA,
