time,longitude,latitude,location_id,location_name,number_concentration_of_enterococcus_in_sea_water,number_concentration_of_clostridium_perfringens_in_sea_water,sea_water_quality_alert,sea_water_temperature,sea_water_salinity,sea_water_turbidity,sea_water_ph_reported_on_total_scale,mass_concentration_of_oxygen_in_sea_water,fractional_saturation_of_oxygen_in_sea_water
UTC,degrees_east,degrees_north,,,CFU/100-milliliters,CFU/100-milliliters,1,Celsius,PSU,NTU,pH,milligrams/liter,%
2011-01-03T15:46:00Z,-156.4714,20.891136,654,Hukilau Hotel Shoreline,2.3,1,0,23.81,32.01,3.43,7.93,6.47,93.1
2011-01-03T16:03:00Z,-156.43584,20.903078,677,Kanaha Beach,178,8,1,23.14,33.88,21,8.06,6.64,95.7
2011-01-03T16:34:00Z,-156.40334,20.91308,700,Spreckelsville Beach,10,4,0,23.56,35.15,4.82,8.12,6.51,95.2
2011-01-03T16:38:00Z,-157.8395,21.281519,155,"Kahanamoku Beach, Waikiki",222,14,1,23.88,34.77,13.3,7.91,5.78,84
2011-01-03T16:57:00Z,-157.8279,21.276657,238,"Moana Beach, Waikiki",10,2,0,24.07,34.81,8.02,7.94,5.98,88
2011-01-03T17:03:00Z,-156.50307,20.7964,687,Maalaea Condos,20,4,0,23.77,34.5,9.52,8.13,5.98,87.2
2011-01-03T17:06:00Z,-157.82303,21.271482,161,"Kuhio Beach, Waikiki",20,1,0,23.86,34.65,2.44,8,5.63,82.3
2011-01-03T17:17:00Z,-157.82265,21.267614,162,"Public Bath Beach, Waikiki",53,1,0,23.74,34.87,7.32,8,5.59,81.8
2011-01-03T17:28:00Z,-157.82204,21.263554,228,Sans Souci,2.3,1,0,23.48,34.85,4.17,8.02,5.43,79.1
2011-01-03T17:36:00Z,-156.68916,20.910017,693,Hanakaoo,2.3,1,0,24.31,35.05,2.08,8.18,6.26,92.6
2011-01-03T17:53:00Z,-156.65279,20.842241,694,Launiupoko,2.3,1,0,24.37,35.05,3.03,8.14,6.14,91.1
2011-01-03T17:56:00Z,-157.84622,21.283056,222,Ala Moana Lagoon,2.3,1,0,23.61,34.79,2.24,8.05,5.72,83.4
2011-01-03T18:14:00Z,-157.84616,21.287458,154,"Ala Moana Park, D.H.",2.3,1,0,24.05,34.81,3.28,8.07,5.45,80.2
2011-01-03T18:22:00Z,-157.84982,21.289448,153,"Ala Moana Park, Center",20,1,1,23,34.75,13.4,8.03,5.36,77.3
2011-01-03T18:28:00Z,-156.45778,20.747232,676,Kihei (South),324,6,1,24.15,31.88,7.42,8.05,5.42,78.3
2011-01-03T18:43:00Z,-156.44917,20.72474,681,Kamaole Beach #1,10,1,0,25.03,34.86,0.95,8.21,6.07,90.6
2011-01-03T18:55:00Z,-156.44667,20.713614,683,Kamaole Beach #3,2.3,1,0,24.85,34.93,1.27,8.2,6.08,90.6
2011-01-03T19:10:00Z,-155.96703,19.579323,1203,Kahaluu Beach Park,10,NaN,0,24.81,32.64,1.33,8.16,6.37,93.6
2011-01-03T19:11:00Z,-156.44333,20.681406,691,Wailea Beach,2.3,1,0,24.73,35,1.52,8.23,6.15,91.5
2011-01-03T19:30:00Z,-154.8325,19.468067,1143,Ahalanui (Pualaa) Beach Park,31,3,0,31.54,17.14,0.29,7.69,5.27,79.2
2011-01-03T19:45:00Z,-155.99669,19.63956,1205,Kailua Pier Sta. A-1,2.3,NaN,0,25.05,32.95,1.42,8.13,5.66,83.7
2011-01-03T19:55:00Z,-155.99744,19.639536,1208,Kailua Pier Sta. D,20,NaN,0,23.9,30.77,6.11,8.06,5.37,76.7
2011-01-03T20:00:00Z,-154.81667,19.501682,1145,"Kapoho, Champagne Pond",42,6,0,28.81,10.09,0.13,7.85,5.99,82.6
2011-01-03T20:30:00Z,-156.0525,19.719212,1237,OTEC,53,NaN,0,25.43,31.87,1.49,8.15,6.35,94
2011-01-03T21:10:00Z,-155.88766,19.914223,1236,Anaehoomalu Bay,2.3,NaN,0,25.5,29.47,7.08,8.05,5.56,81.3
2011-01-03T21:40:00Z,-155.01335,19.735847,1136,Richardson Ocean Center,10,1,0,24.79,33.01,0.88,8.23,7.05,103.8
2011-01-03T21:50:00Z,-155.84569,19.968666,1222,Puako Middle of Lot,2.3,NaN,0,25.97,32.26,2.34,8.23,6.79,101.6
2011-01-03T21:51:00Z,-155.01585,19.733637,1121,Leleiwi Beach Park,10,3,0,21.52,12.97,0.41,8.26,8.64,106.3
2011-01-03T22:00:00Z,-155.02806,19.733904,1114,Keaukaha Beach - 4 Miles,2.3,1,0,24.1,29.12,0.51,8.21,7.46,106.2
2011-01-03T22:10:00Z,-155.03752,19.737783,1126,Onekahakaha Beach Swimming Area,10,8,0,26.23,34.42,2.99,8.28,8.48,127.4
2011-01-03T22:22:00Z,-155.04224,19.736406,1130,Puhi Bay #3,2.3,1,0,25.46,34.81,0.58,8.3,7.08,106.8
2011-01-03T22:32:00Z,-155.06253,19.724726,1102,Exit of Ice Pond,20,2,0,21.88,9.13,0.29,7.67,6.94,83.9
2011-01-03T22:44:00Z,-155.07474,19.72334,1138,Hilo Bay (Canoe Beach),20,1,0,23.95,26.18,3.01,8.04,6.27,87.3
2011-01-03T22:56:00Z,-155.09084,19.755278,1110,Honolii Cove (Ocean),2.3,1,0,24.22,29.41,0.69,8.24,6.56,93.7
2011-01-04T19:35:00Z,-155.90694,19.183556,1220,Milolii,10,NaN,0,25.19,33.39,1.4,8.23,6.2,92.1
2011-01-04T20:40:00Z,-155.90118,19.382618,1209,Kauhako Bay - Hookena,10,NaN,0,25.53,32.9,1.7,8.2,6.39,95.3
2011-01-04T21:15:00Z,-155.9114,19.421453,1244,Honaunau Bay - 2 Step,2.3,NaN,0,25.4,33.7,1.28,8.17,6.7,100.1
2011-01-04T21:35:00Z,-155.91953,19.475483,1211,Kealakekua Bay (Curio Stand),2.3,NaN,0,26.12,34.03,2.06,8.13,5.98,90.7
2011-01-04T22:20:00Z,-155.97662,19.606424,1235,Banyan's Surfing Area,2.3,NaN,0,24.96,26.57,1.33,8.27,7.32,104.1
2011-01-05T15:56:00Z,-156.44391,20.691132,686,Ulua Beach,2.3,1,0,24.02,35.18,0.65,8.08,5.97,87.6
2011-01-05T16:10:00Z,-156.4436,20.676407,705,Polo Beach,2.3,1,0,24.1,35.26,1.08,8.2,6.43,94.9
2011-01-05T16:20:00Z,-156.44278,20.669458,715,Palauea,2.3,1,0,24.02,35.18,1.18,8.2,6.35,93.9
2011-01-05T16:29:00Z,-156.44167,20.663343,716,Poolenalena,2.3,1,0,23.72,35.24,0.61,8.24,6.3,92.1
2011-01-05T16:39:00Z,-157.8395,21.281519,155,"Kahanamoku Beach, Waikiki",2.3,6,0,23.05,34.9,10.4,7.78,5.79,83.7
2011-01-05T16:40:00Z,-156.44084,20.653893,717,Makena Landing,2.3,1,0,24.13,35.18,0.87,8.23,6.05,89.2
2011-01-05T16:48:00Z,-156.44223,20.648058,718,Maluaka,2.3,1,0,24.4,35.2,0.52,8.22,5.75,85
2011-01-05T16:54:00Z,-157.8279,21.276657,238,"Moana Beach, Waikiki",20,1,0,23.78,34.87,8.13,7.99,5.99,87.6
2011-01-05T17:00:00Z,-156.44728,20.639778,719,Oneuli,2.3,1,0,23.98,35.1,0.77,8.16,5.28,77.5
2011-01-05T17:06:00Z,-157.82303,21.271482,161,"Kuhio Beach, Waikiki",31,1,0,23.67,34.79,3.82,7.98,5.72,83.5
2011-01-05T17:16:00Z,-157.82265,21.267614,162,"Public Bath Beach, Waikiki",53,1,0,23.29,34.92,8.93,8.02,5.98,86.6
2011-01-05T17:18:00Z,-156.45175,20.634306,720,Puu Olai (Small Beach),2.3,1,0,23.19,35.35,0.72,8.2,6.14,89.4
2011-01-05T17:27:00Z,-157.82204,21.263554,228,Sans Souci,2.3,3,0,23.03,34.9,6.25,8.06,5.67,82
2011-01-05T17:33:00Z,-156.44585,20.630568,661,Makena Beach Shoreline,2.3,1,0,24,35.18,0.28,8.25,6.04,89.1
2011-01-05T17:54:00Z,-157.84622,21.283056,222,Ala Moana Lagoon,2.3,13,0,23.62,34.71,1.77,8.09,5.71,83.2
2011-01-05T18:08:00Z,-157.84616,21.287458,154,"Ala Moana Park, D.H.",2.3,1,0,23.73,34.87,4.33,8.11,5.58,81.6
2011-01-05T18:16:00Z,-157.84982,21.289448,153,"Ala Moana Park, Center",31,1,1,23.24,34.77,21.6,8.08,5.56,80.4
2011-01-05T19:05:00Z,-155.96703,19.579323,1203,Kahaluu Beach Park,2.3,NaN,0,24.84,33.38,1.24,8.2,6.05,89.4
2011-01-05T19:28:00Z,-159.53128,22.217222,868,Lumahai Beach,31,7,0,20.5,0.42,0,8.25,6.1,68.3
2011-01-05T19:30:00Z,-155.97212,19.594566,1215,Magic Sands,2.3,NaN,0,25.67,34.45,2.53,8.16,5.65,88.1
2011-01-05T19:42:00Z,-159.50441,22.203222,833,Waioli Beach Park,2.3,1,0,25.31,32.3,0,7.94,6.98,104.8
2011-01-05T19:45:00Z,-154.84224,19.457514,1127,Pohoiki Isaac Hale-B. ramp,2.3,1,0,29.24,26.01,0.36,7.86,5.19,79.1
2011-01-05T19:57:00Z,-159.4985,22.207306,805,Hanalei Bay Pavilion,10,2,0,25.39,33.6,0,7.92,6.73,98.7
2011-01-05T19:58:00Z,-154.8325,19.468067,1143,Ahalanui (Pualaa) Beach Park,2.3,1,0,32.47,16.48,0.23,7.6,5.25,80.1
2011-01-05T20:00:00Z,-155.99669,19.63956,1205,Kailua Pier Sta. A-1,2.3,NaN,0,25.4,33.56,1.16,8.15,5.48,82.2
2011-01-05T20:07:00Z,-159.49715,22.212694,804,Hanalei Bay Landing,20,5,0,24.99,29.59,0,7.97,8.28,114.9
2011-01-05T20:10:00Z,-154.82,19.488077,1142,Vacationland,2.3,1,0,24.78,34.78,0.39,8.2,7.06,105.3
2011-01-05T20:17:00Z,-159.49594,22.2135,839,End of Weke Road,150,11,1,22.67,5.23,0,8.02,8.12,98.6
2011-01-05T20:20:00Z,-155.99744,19.639536,1208,Kailua Pier Sta. D,99,NaN,0,24.53,32.33,6.27,8.08,5.31,76.8
2011-01-05T21:05:00Z,-155.01335,19.735847,1136,Richardson Ocean Center,2.3,2,0,23.71,30.4,0.8,8.23,6.87,97.8
2011-01-05T21:15:00Z,-155.88766,19.914223,1236,Anaehoomalu Bay,2.3,NaN,0,25.67,29.84,7.03,7.9,5.73,85.2
2011-01-05T21:20:00Z,-155.02806,19.733904,1114,Keaukaha Beach - 4 Miles,20,1,0,23.23,25.31,0.67,8.12,6.93,95.3
2011-01-05T21:29:00Z,-155.03752,19.737783,1126,Onekahakaha Beach Swimming Area,2.3,2,0,25.11,31.48,1,8.22,7.58,111.4
2011-01-05T21:38:00Z,-155.0464,19.731407,1129,Puhi Bay #2,2.3,1,0,22.21,24.43,0.53,8.14,6.67,88.7
2011-01-05T21:48:00Z,-155.06778,19.728617,1101,Coconut Island,2.3,1,0,24.27,30.06,0.85,8.15,6.86,98.2
2011-01-05T21:57:00Z,-155.07474,19.72334,1138,Hilo Bay (Canoe Beach),2.3,1,0,24.84,31.69,2.66,8.17,6.48,94.9
2011-01-05T22:10:00Z,-155.84569,19.968666,1222,Puako Middle of Lot,2.3,NaN,0,25.74,34.3,2.33,8.18,6.15,93.1
2011-01-05T22:13:00Z,-155.09084,19.755278,1110,Honolii Cove (Ocean),10,1,0,24.09,29.12,0.86,8.27,6.82,97.1
2011-01-06T15:38:00Z,-156.4714,20.891136,654,Hukilau Hotel Shoreline,2.3,1,0,23.27,33.88,6.6,8.05,6.78,97.6
2011-01-06T15:54:00Z,-156.43584,20.903078,677,Kanaha Beach,2.3,4,0,22.59,34.73,19.7,8.07,6.58,94.2
2011-01-06T16:21:00Z,-156.40334,20.91308,700,Spreckelsville Beach,2.3,1,0,23.61,35.38,2.63,8.14,6.54,95.5
2011-01-06T16:48:00Z,-156.50307,20.7964,687,Maalaea Condos,20,3,0,24.23,34.75,9.1,8.17,6.21,91.6
2011-01-06T17:24:00Z,-156.68916,20.910017,693,Hanakaoo,31,2,0,24.36,35.12,12.3,8.17,6.35,94.3
2011-01-06T17:40:00Z,-156.65279,20.842241,694,Launiupoko,2.3,1,0,24.07,35.03,2.2,8.12,5.94,87.1
2011-01-06T18:18:00Z,-156.45778,20.747232,676,Kihei (South),87,5,0,24.59,32.48,18.3,8.15,5.68,83.4
2011-01-06T18:30:00Z,-156.44917,20.72474,681,Kamaole Beach #1,2.3,1,0,24.68,34.99,1.21,8.22,6.2,92.3
2011-01-06T18:41:00Z,-156.44667,20.713614,683,Kamaole Beach #3,2.3,1,0,24.5,35.21,1.44,8.22,6.22,92
2011-01-06T18:53:00Z,-157.69655,21.271523,201,Hanauma Beach Park,10,1,0,23.71,34.42,4.06,7.93,4.67,64.4
2011-01-06T19:26:00Z,-157.67279,21.285646,200,Sandy Beach Pt. No. 1,2.3,8,0,24,34.59,3.37,8.04,5.23,72.5
2011-01-06T19:50:00Z,-157.66052,21.312021,216,Makapuu,2.3,1,0,24.28,34.68,0.84,8.12,4.35,64.9
2011-01-06T20:15:00Z,-155.68292,18.914389,1152,"Kalae, South Point",2.3,1,0,25.27,34.73,0.36,8.18,6.25,93.6
2011-01-06T20:18:00Z,-157.69342,21.33246,197,Waimanalo Beach,2.3,1,0,23.8,34.5,17.9,8.15,4.43,65.4
2011-01-06T21:04:00Z,-157.72786,21.398495,193,Kailua Beach Park,2.3,4,0,23.75,34.46,8.05,8.16,8.17,64.7
2011-01-06T21:05:00Z,-155.55055,19.084766,1202,Honuapo Landing,2.3,1,0,24.79,33.52,0.38,8.26,6.42,95
2011-01-06T21:24:00Z,-155.51056,19.128082,1151,Ninole,10,1,0,24.45,30.65,1.27,8.29,6.49,93.8
2011-01-06T21:35:00Z,-155.50471,19.13585,1224,Punaluu Beach Park,2.3,1,0,22.59,17.76,0.7,8.41,8.25,106.8
2011-01-10T16:37:00Z,-156.45778,20.747232,676,Kihei (South),53,26,0,22.5,31.07,20,8.17,6.53,91.3
