time,longitude,latitude,location_id,location_name,number_concentration_of_enterococcus_in_sea_water,number_concentration_of_clostridium_perfringens_in_sea_water,sea_water_quality_alert
UTC,degrees_east,degrees_north,,,CFU/100-milliliters,CFU/100-milliliters,1
2011-02-10T20:07:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,2.3,1,0
2011-03-15T19:36:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,20,9,0
2011-07-21T19:48:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,2.3,1,0
2013-01-09T18:35:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-01-23T18:33:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-01-30T18:18:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,31,1,0
2013-02-06T18:13:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-02-13T18:47:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-02-20T18:11:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-02-27T18:56:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-03-06T18:18:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-03-13T18:06:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-03-20T18:13:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-04-02T18:12:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,20,2,0
2013-04-17T18:26:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-04-24T18:20:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-05-01T18:11:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-05-15T18:07:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-05-22T18:05:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,2,0
2013-06-12T18:14:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2013-06-19T18:03:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-07-08T20:01:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-07-13T19:50:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-07-22T20:04:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-07-28T20:00:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-08-05T20:21:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-08-27T19:56:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,1
2015-09-16T20:05:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-09-30T22:02:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-10-14T20:09:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-10-21T19:36:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-11-04T19:48:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-11-09T20:02:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,20,1,0
2015-11-18T20:18:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,3,0
2015-11-23T20:06:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,3,0
2015-12-02T20:13:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-12-09T19:56:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-12-16T19:49:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,20,1,0
2015-12-22T19:47:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2015-12-29T20:05:00Z,-159.77742,22.008194,842,Pacific Missile Range Facility,10,1,0
2011-02-10T19:20:00Z,-159.74936,22.09461,820,Polihale Beach Park,2.3,1,0
2011-03-15T19:03:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2011-07-21T18:33:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-07-11T18:20:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-07-18T18:31:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-07-25T18:33:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-08-01T18:17:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,2,0
2012-08-08T18:28:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-08-15T18:27:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-08-22T18:23:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-08-29T18:23:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-09-05T18:24:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-09-12T18:39:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-09-19T18:34:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,2,0
2012-09-26T18:23:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-10-03T18:29:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-10-10T18:24:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,2,0
2012-11-07T18:38:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-11-14T18:29:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-11-20T18:24:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-11-28T18:33:00Z,-159.74936,22.09461,820,Polihale Beach Park,10,1,0
2012-12-05T18:40:00Z,-159.74936,22.09461,820,Polihale Beach Park,306,1,1
