rgn_id,value,description
1,0.89280245,percent of residence that participate in any ocean activity at least once per month
2,0.919354839,percent of residence that participate in any ocean activity at least once per month
3,0.922509225,percent of residence that participate in any ocean activity at least once per month
4,0.936470588,percent of residence that participate in any ocean activity at least once per month
