name,rgn_id,year,numer,acres
Hawaii,1,2013,206      ,"2,869     "
Maui,2,2013,125      ,"1,861     "
Lanai,2,2013,5      ,24     
Molokai,2,2013,13      ,92     
Oahu,3,2013,284      ,"5,133     "
Kauai,4,2013,74      ,487     
Hawaii,1,2014,206     ,"2,869     "
Maui,2,2014,127     ,"2,049     "
Lanai,2,2014,5     ,24     
Molokai,2,2014,12     ,79     
Oahu,3,2014,284     ,"5,133     "
Kauai,4,2014,74     ,487     
Hawaii,1,2015,206     ,"2,869     "
Maui,2,2015,129     ,"2,074     "
Lanai,2,2015,5     ,24     
Molokai,2,2015,12     ,79     
Oahu,3,2015,286     ,"5,164     "
Kauai,4,2015,74     ,487     
