rgn_id,res_score,reference,number of active fishponds
1,0.1875,percent of county fishponds that recieve technical assistance ,16
2,0,percent of county fishponds that recieve technical assistance ,7
3,0.166666667,percent of county fishponds that recieve technical assistance ,12
4,0,percent of county fishponds that recieve technical assistance ,8
