species,year,rgn_id,lbs,tonnes,licenses
Kumu,2016,1,708,0.321143136,14
Kumu,2016,2,191,0.086636072,11
Kumu,2016,3,835,0.37874932,31
Kumu,2016,4,218,0.098883056,6
Kupipi,2012,1,24,0.010886208,5
Kupipi,2012,2,121,0.054884632,5
Kupipi,2013,3,5,0.00226796,3
Kupipi,2014,1,77,0.034926584,4
Kupoupou,2012,3,17,0.007711064,5
Kupoupou,2013,3,12,0.005443104,6
Kupoupou,2014,3,10,0.00453592,5
Kupoupou,2015,3,6,0.002721552,3
Lae,2012,1,4,0.001814368,4
Lae,2012,2,8,0.003628736,3
Lae,2012,3,429,0.194590968,20
Lae,2013,1,6,0.002721552,3
Lae,2013,2,14,0.006350288,7
Lae,2013,3,358,0.162385936,23
Lae,2014,1,5,0.00226796,3
Lae,2014,3,235,0.10659412,28
Lae,2015,1,10,0.00453592,4
Lae,2015,2,4,0.001814368,4
Lae,2015,3,118,0.053523856,16
Lae,2016,3,80,0.03628736,5
Laenihi,2012,1,873,0.395985816,36
Laenihi,2012,2,1197,0.542949624,29
Laenihi,2012,3,578,0.262176176,22
Laenihi,2012,4,35,0.01587572,5
Laenihi,2013,1,791,0.358791272,37
Laenihi,2013,2,1616,0.733004672,30
Laenihi,2013,3,256,0.116119552,16
Laenihi,2013,4,10,0.00453592,4
Laenihi,2014,1,1041,0.472189272,22
Laenihi,2014,2,1835,0.83234132,27
Laenihi,2014,3,581,0.263536952,21
Laenihi,2015,1,643,0.291659656,25
Laenihi,2015,2,2666,1.209276272,29
Laenihi,2015,3,226,0.102511792,20
Laenihi,2016,1,832,0.377388544,26
Laenihi,2016,2,2121,0.962068632,29
Laenihi,2016,3,628,0.284855776,17
Maiko,2012,1,234,0.106140528,12
Maiko,2012,3,2047,0.928502824,19
Maiko,2013,1,63,0.028576296,6
Maiko,2013,3,3437,1.558995704,23
Maiko,2014,1,194,0.087996848,7
Maiko,2014,3,1229,0.557464568,13
Maiko,2015,1,99,0.044905608,6
Maiko,2015,3,350,0.1587572,10
Maiko,2016,1,43,0.019504456,4
Maiko,2016,3,909,0.412315128,8
Malu,2012,1,28,0.012700576,7
Malu,2012,3,279,0.126552168,23
Malu,2012,4,22,0.009979024,3
Malu,2013,1,8,0.003628736,6
Malu,2013,3,261,0.118387512,26
Malu,2014,3,208,0.094347136,22
Malu,2015,3,90,0.04082328,17
Malu,2016,3,18,0.008164656,8
Manini,2012,1,1882,0.853660144,23
Manini,2012,2,4022,1.824347024,17
Manini,2012,3,8512,3.860975104,40
Manini,2013,1,2655,1.20428676,12
Manini,2013,2,3226,1.463287792,8
Manini,2013,3,9192,4.169417664,43
Manini,2014,1,1693,0.767931256,15
Manini,2014,2,2156,0.977944352,11
Manini,2014,3,7632,3.461814144,34
Manini,2015,1,629,0.285309368,13
Manini,2015,2,2284,1.036004128,12
Manini,2015,3,6173,2.800023416,35
Manini,2015,4,29,0.013154168,4
Manini,2016,1,549,0.249022008,12
Manini,2016,2,2814,1.276407888,8
Manini,2016,3,5061,2.295629112,25
Maomao,2012,1,11,0.004989512,5
Maomao,2012,2,1773,0.804218616,4
Maomao,2012,3,1110,0.50348712,22
Maomao,2013,2,672,0.304813824,4
Maomao,2013,3,1465,0.66451228,20
Maomao,2014,2,235,0.10659412,3
Maomao,2014,3,645,0.29256684,18
Maomao,2015,2,464,0.210466688,3
Maomao,2015,3,367,0.166468264,16
Maomao,2016,3,259,0.117480328,14
Menpachi,2012,1,23716,10.75738787,102
Menpachi,2012,2,5848,2.652606016,46
Menpachi,2012,3,13763,6.242786696,85
Menpachi,2012,4,9984,4.528662528,38
Menpachi,2013,1,23791,10.79140727,90
Menpachi,2013,2,3607,1.636106344,32
Menpachi,2013,3,16521,7.493793432,84
Menpachi,2013,4,13895,6.30266084,38
Menpachi,2014,1,16328,7.406250176,78
Menpachi,2014,2,4428,2.008505376,40
Menpachi,2014,3,12475,5.6585602,88
Menpachi,2014,4,19804,8.982935968,27
Menpachi,2015,1,14559,6.603845928,72
Menpachi,2015,2,4547,2.062482824,33
Menpachi,2015,3,12904,5.853151168,72
Menpachi,2015,4,11872,5.385044224,32
Menpachi,2016,1,15584,7.068777728,66
Menpachi,2016,2,5310,2.40857352,32
Menpachi,2016,3,13679,6.204684968,59
Menpachi,2016,4,14140,6.41379088,30
Moana,2012,1,2515,1.14078388,58
Moana,2012,2,1757,0.796961144,25
Moana,2012,3,1198,0.543403216,62
Moana,2012,4,288,0.130634496,16
Moana,2013,1,1850,0.8391452,67
Moana,2013,2,1573,0.713500216,21
Moana,2013,3,1644,0.745705248,67
Moana,2013,4,155,0.07030676,11
Moana,2014,1,1316,0.596927072,36
Moana,2014,2,772,0.350173024,15
Moana,2014,3,1243,0.563814856,58
Moana,2014,4,160,0.07257472,14
Moana,2015,1,1244,0.564268448,31
Moana,2015,2,102,0.046266384,9
Moana,2015,3,609,0.276237528,54
Moana,2015,4,109,0.049441528,8
Moana,2016,1,2140,0.97068688,39
Moana,2016,2,83,0.037648136,12
Moana,2016,3,447,0.202755624,38
Moana,2016,4,112,0.050802304,10
Moana kale,2012,1,1201,0.544763992,38
Moana kale,2012,2,652,0.295741984,22
Moana kale,2012,3,507,0.229971144,43
Moana kale,2012,4,212,0.096161504,14
Moana kale,2013,1,786,0.356523312,37
Moana kale,2013,2,324,0.146963808,21
Moana kale,2013,3,599,0.271701608,49
Moana kale,2013,4,153,0.069399576,10
Moana kale,2014,1,951,0.431365992,31
Moana kale,2014,2,108,0.048987936,17
Moana kale,2014,3,1433,0.649997336,52
Moana kale,2014,4,286,0.129727312,7
Moana kale,2015,1,522,0.236775024,23
Moana kale,2015,2,79,0.035833768,7
Moana kale,2015,3,529,0.239950168,46
Moana kale,2015,4,117,0.053070264,7
Moana kale,2016,1,948,0.430005216,30
Moana kale,2016,2,142,0.064410064,14
Moana kale,2016,3,569,0.258093848,38
Moana kale,2016,4,68,0.030844256,8
Moi,2012,2,124,0.056245408,3
Moi,2012,3,156,0.070760352,10
Moi,2013,3,44,0.019958048,8
Moi,2014,1,34,0.015422128,4
Moi,2014,2,32,0.014514944,3
Moi,2014,3,75,0.0340194,7
Moi,2015,1,173,0.078471416,5
Moi,2015,3,89,0.040369688,6
Moi,2016,2,27,0.012246984,3
Moi,2016,3,137,0.062142104,5
Moi,2016,4,137,0.062142104,3
Mu,2012,1,1946,0.882690032,13
Mu,2012,2,115,0.05216308,7
Mu,2012,3,3539,1.605262088,20
Mu,2012,4,164,0.074389088,4
Mu,2013,1,1753,0.795146776,11
Mu,2013,2,181,0.082100152,4
Mu,2013,3,3699,1.677836808,30
Mu,2014,1,171,0.077564232,14
Mu,2014,2,28,0.012700576,3
Mu,2014,3,3101,1.406588792,28
Mu,2015,1,275,0.1247378,11
Mu,2015,2,71,0.032205032,3
Mu,2015,3,1497,0.679027224,27
Mu,2015,4,230,0.10432616,3
Mu,2016,1,275,0.1247378,14
Mu,2016,2,97,0.043998424,5
Mu,2016,3,1356,0.615070752,22
Mu,2016,4,381,0.172818552,3
Munu,2012,1,301,0.136531192,21
Munu,2012,2,38,0.017236496,4
Munu,2012,3,488,0.221352896,23
Munu,2013,1,144,0.065317248,25
Munu,2013,2,29,0.013154168,3
Munu,2013,3,485,0.21999212,26
Munu,2014,1,147,0.066678024,25
Munu,2014,2,12,0.005443104,3
Munu,2014,3,459,0.208198728,26
Munu,2015,1,42,0.019050864,10
Munu,2015,2,11,0.004989512,3
Munu,2015,3,208,0.094347136,25
Munu,2016,1,91,0.041276872,17
Munu,2016,3,200,0.0907184,14
Naenae,2012,1,77,0.034926584,9
Naenae,2012,2,525,0.2381358,3
Naenae,2012,3,8302,3.765720784,32
Naenae,2013,1,110,0.04989512,5
Naenae,2013,3,7887,3.577480104,36
Naenae,2014,3,7965,3.61286028,25
Naenae,2015,3,4213,1.910983096,22
Naenae,2016,3,3094,1.403413648,17
Nenue,2012,1,845,0.38328524,35
Nenue,2012,2,7960,3.61059232,18
Nenue,2012,3,22331,10.12916295,36
Nenue,2012,4,99,0.044905608,5
Nenue,2013,1,968,0.439077056,24
Nenue,2013,2,5138,2.330555696,13
Nenue,2013,3,21214,9.622500688,39
Nenue,2014,1,1097,0.497590424,28
Nenue,2014,2,6224,2.823156608,20
Nenue,2014,3,9262,4.201169104,30
Nenue,2014,4,54,0.024493968,7
Nenue,2015,1,594,0.269433648,18
Nenue,2015,2,5806,2.633555152,19
Nenue,2015,3,10977,4.979079384,17
Nenue,2015,4,72,0.032658624,3
Nenue,2016,1,655,0.29710276,18
Nenue,2016,2,3511,1.592561512,13
Nenue,2016,3,5584,2.532857728,21
Nenue,2016,4,27,0.012246984,3
Nohu,2012,1,421,0.190962232,18
Nohu,2012,2,1047,0.474910824,9
Nohu,2012,3,378,0.171457776,12
Nohu,2013,1,245,0.11113004,12
Nohu,2013,2,393,0.178261656,7
Nohu,2013,3,423,0.191869416,16
Nohu,2014,1,175,0.0793786,11
Nohu,2014,2,237,0.107501304,8
Nohu,2014,3,185,0.08391452,13
Nohu,2015,1,523,0.237228616,11
Nohu,2015,2,557,0.252650744,5
Nohu,2015,3,71,0.032205032,6
Nohu,2016,1,346,0.156942832,9
Nohu,2016,2,466,0.211373872,4
Nohu,2016,3,126,0.057152592,3
Nunu,2012,1,69,0.031297848,3
Nunu,2012,3,130,0.05896696,15
Nunu,2013,1,72,0.032658624,4
Nunu,2013,3,138,0.062595696,13
Nunu,2014,3,211,0.095707912,14
Nunu,2015,3,121,0.054884632,9
Nunu,2016,1,67,0.030390664,4
Nunu,2016,3,60,0.02721552,8
Oio,2012,2,402,0.182343984,7
Oio,2012,3,10160,4.60849472,32
Oio,2013,1,22,0.009979024,6
Oio,2013,2,1220,0.55338224,7
Oio,2013,3,9901,4.491014392,28
Oio,2014,2,535,0.24267172,6
Oio,2014,3,5480,2.48568416,25
Oio,2014,4,1848,0.838238016,5
Oio,2015,1,124,0.056245408,6
Oio,2015,2,749,0.339740408,10
Oio,2015,3,6729,3.052220568,25
Oio,2016,1,90,0.04082328,5
Oio,2016,2,728,0.330214976,5
Oio,2016,3,4322,1.960424624,16
Oio,2016,4,434,0.196858928,4
Olililepa,2012,1,91,0.041276872,4
Olililepa,2012,3,2601,1.179792792,9
Olililepa,2013,3,755,0.34246196,13
Olililepa,2014,3,1340,0.60781328,9
Olililepa,2015,1,32,0.014514944,3
Olililepa,2015,3,594,0.269433648,6
Olililepa,2016,3,217,0.098429464,3
Omaka,2012,3,28,0.012700576,5
Omilu,2012,1,1268,0.575154656,16
Omilu,2012,2,2458,1.114929136,36
Omilu,2012,3,2113,0.958439896,57
Omilu,2012,4,2423,1.099053416,25
Omilu,2013,1,557,0.252650744,16
Omilu,2013,2,1637,0.742530104,46
Omilu,2013,3,1611,0.730736712,41
Omilu,2013,4,2546,1.154845232,20
Omilu,2014,1,420,0.19050864,19
Omilu,2014,2,1502,0.681295184,39
Omilu,2014,3,3573,1.620684216,50
Omilu,2014,4,2093,0.949368056,26
Omilu,2015,1,609,0.276237528,15
Omilu,2015,2,1885,0.85502092,42
Omilu,2015,3,1601,0.726200792,44
Omilu,2015,4,2138,0.969779696,20
Omilu,2016,1,490,0.22226008,16
Omilu,2016,2,1958,0.888133136,45
Omilu,2016,3,1172,0.531609824,36
Omilu,2016,4,2175,0.9865626,20
Oopuhue,2012,3,1054,0.478085968,5
Opelu,2012,1,153202,69.49120158,83
Opelu,2012,2,16140,7.32097488,39
Opelu,2012,3,65136,29.54516851,82
Opelu,2012,4,12550,5.6925796,32
Opelu,2013,1,131477,59.63691538,77
Opelu,2013,2,21701,9.843399992,54
Opelu,2013,3,76620,34.75421904,84
Opelu,2013,4,14508,6.580712736,33
Opelu,2014,1,152367,69.11245226,76
Opelu,2014,2,18891,8.568806472,48
Opelu,2014,3,60422,27.40693582,73
Opelu,2014,4,11851,5.375518792,36
Opelu,2015,1,156360,70.92364512,61
