species,year,total,licenses
Aku,2012,362051,1008
Aku,2013,593139,948
Aku,2014,235709,868
Aku,2015,253463,845
Aku,2016,259415,707
Alfonsin,2013,54,5
Alfonsin,2014,16,4
Bigeye tuna,2012,1223060,435
Bigeye tuna,2013,1406499,377
Bigeye tuna,2014,837678,352
Bigeye tuna,2015,657927,249
Bigeye tuna,2016,507688,231
Black marlin,2012,5325,20
Black marlin,2013,6936,24
Black marlin,2014,5481,21
Black marlin,2015,8722,38
Black marlin,2016,5814,22
Blue marlin,2012,285790,471
Blue marlin,2013,293217,519
Blue marlin,2014,329919,528
Blue marlin,2015,408882,644
Blue marlin,2016,300582,496
Blue shark,2013,300,6
Butaguchi ulua,2012,565,14
Butaguchi ulua,2013,459,10
Butaguchi ulua,2014,210,7
Butaguchi ulua,2015,192,9
Butaguchi ulua,2016,105,3
Ehu,2012,27994,343
Ehu,2013,32297,313
Ehu,2014,28554,301
Ehu,2015,31361,263
Ehu,2016,30661,258
Gindai,2012,3795,204
Gindai,2013,3648,170
Gindai,2014,3052,153
Gindai,2015,2316,142
Gindai,2016,2193,139
Gunkan ulua,2012,482,17
Gunkan ulua,2013,618,11
Gunkan ulua,2014,316,8
Gunkan ulua,2015,143,5
Gunkan ulua,2016,270,6
Hapuupuu,2012,10751,177
Hapuupuu,2013,9119,162
Hapuupuu,2014,9940,154
Hapuupuu,2015,8029,135
Hapuupuu,2016,8129,136
Kahala,2012,17594,161
Kahala,2013,13194,150
Kahala,2014,13028,134
Kahala,2015,16558,140
Kahala,2016,17733,126
Kalekale,2012,13338,242
Kalekale,2013,14705,245
Kalekale,2014,18559,241
Kalekale,2015,13714,210
Kalekale,2016,10967,186
Kawakawa,2012,6857,230
Kawakawa,2013,9383,224
Kawakawa,2014,25609,342
Kawakawa,2015,34771,372
Kawakawa,2016,12693,267
Keokeo,2012,91,7
Keokeo,2013,85,3
Keokeo,2014,28,5
Keokeo,2015,23,7
Keokeo,2016,40,4
Lehi,2012,10001,126
Lehi,2013,13319,120
Lehi,2014,8543,135
Lehi,2015,11161,124
Lehi,2016,8634,122
Mahimahi,2012,1072410,1570
Mahimahi,2013,694871,1450
Mahimahi,2014,961621,1427
Mahimahi,2015,766883,1292
Mahimahi,2016,555411,1069
Mako,2012,1613,11
Mako,2013,1586,12
Mako,2015,1957,6
Mako,2016,1634,8
Monchong,2012,22304,55
Monchong,2013,63002,76
Monchong,2014,58985,56
Monchong,2015,35405,63
Monchong,2016,44484,62
Oceanic whitetip,2013,80,6
Oceanic whitetip,2014,0,3
Oceanic whitetip,2015,0,6
Onaga,2012,60424,275
Onaga,2013,72858,268
Onaga,2014,79278,258
Onaga,2015,50158,214
Onaga,2016,46432,210
Ono,2012,442380,1360
Ono,2013,417393,1313
Ono,2014,490006,1357
Ono,2015,440089,1273
Ono,2016,272622,1052
Opakapaka,2012,109289,381
Opakapaka,2013,122881,356
Opakapaka,2014,165320,362
Opakapaka,2015,128767,316
Opakapaka,2016,128653,319
S.N. spearfish,2012,25553,278
S.N. spearfish,2013,25745,264
S.N. spearfish,2014,19551,225
S.N. spearfish,2015,25610,243
S.N. spearfish,2016,34678,293
Sailfish,2012,1837,29
Sailfish,2013,2473,34
Sailfish,2014,2033,30
Sailfish,2015,4814,46
Sailfish,2016,4104,41
Striped marlin,2012,24460,188
Striped marlin,2013,19557,146
Striped marlin,2014,27836,200
Striped marlin,2015,24393,177
Striped marlin,2016,26557,178
Swordfish,2012,14945,62
Swordfish,2013,17667,50
Swordfish,2014,18691,73
Swordfish,2015,13641,71
Swordfish,2016,8757,37
Taape,2012,33003,305
Taape,2013,32898,272
Taape,2014,30257,268
Taape,2015,25861,233
Taape,2016,34845,216
Thresher shark,2012,3164,22
Thresher shark,2013,1345,12
Thresher shark,2014,1916,12
Thresher shark,2015,1863,6
Thresher shark,2016,591,9
Tombo,2012,564538,264
Tombo,2013,107522,170
Tombo,2014,116945,196
Tombo,2015,143860,165
Tombo,2016,52738,119
Tuna-misc.,2012,2208,38
Tuna-misc.,2013,638,31
Tuna-misc.,2014,1427,43
Tuna-misc.,2015,1161,35
Tuna-misc.,2016,1001,36
Uku,2012,116793,429
Uku,2013,120711,414
Uku,2014,96828,406
Uku,2015,101938,438
Uku,2016,117740,390
Walu,2012,2034,15
Walu,2013,3480,19
Walu,2014,1680,18
Walu,2015,763,18
Walu,2016,112,4
White ulua,2012,20570,181
White ulua,2013,14479,175
White ulua,2014,11979,145
White ulua,2015,10714,145
White ulua,2016,8144,131
Yellowfin tuna,2012,2204006,1414
Yellowfin tuna,2013,2094361,1301
Yellowfin tuna,2014,2091924,1312
Yellowfin tuna,2015,2030799,1211
Yellowfin tuna,2016,1570467,1068
