rgn_id,Year,alerts
1,2011,58
<<<<<<< HEAD
2,2011,19
3,2011,31
4,2011,82
1,2012,30
2,2012,12
3,2012,23
4,2012,104
1,2013,51
2,2013,26
3,2013,5
4,2013,145
1,2014,19
2,2014,24
3,2014,46
4,2014,75
1,2015,15
2,2015,48
3,2015,45
4,2015,47
1,2016,40
2,2016,39
3,2016,32
=======
1,2012,30
1,2013,51
1,2014,19
1,2015,15
1,2016,40
2,2011,19
2,2012,12
2,2013,26
2,2014,24
2,2015,48
2,2016,39
3,2011,31
3,2012,23
3,2013,5
3,2014,46
3,2015,45
3,2016,32
4,2011,82
4,2012,104
4,2013,145
4,2014,75
4,2015,47
>>>>>>> ab3f9b172728b31c0999f6d2fec83cd1a95e79b4
4,2016,46
