rgn_id,res_score,refernce
1,0.96,100% reporting to DAR for the commerical fishery
2,0.96,100% reporting to DAR for the commerical fishery
3,0.96,100% reporting to DAR for the commerical fishery
4,0.96,100% reporting to DAR for the commerical fishery
