year,rgn_id,island,mus,family,X6,species,licenses,catch
2012,0,Cross Seamount,PMUS,Scombridae,NA,Yellowfin tuna,11,97952
2012,0,Cross Seamount,PMUS,Scombridae,NA,Bigeye tuna,14,716406
2012,0,Cross Seamount,PMUS,Coryphaenidae,NA,Mahimahi,12,13355
2012,0,Cross Seamount,PMUS,Scombridae,NA,Ono,9,1102
2012,0,Cross Seamount,PMUS,Scombridae,NA,Aku,9,5263
2012,0,Cross Seamount,PMUS,Istiophoridae,NA,Blue marlin,4,4804
2012,0,Cross Seamount,PMUS,Scombridae,NA,Tombo,3,703
2012,0,Cross Seamount,PMUS,Bramidae,NA,Monchong,6,11548
2012,0,Cross Seamount,PMUS,Istiophoridae,NA,S.N. spearfish,4,327
2012,0,Cross Seamount,PMUS,Exocoetidae,NA,Walu,4,1667
2013,0,Cross Seamount,PMUS,Scombridae,NA,Yellowfin tuna,10,100636
2013,0,Cross Seamount,PMUS,Scombridae,NA,Bigeye tuna,15,880658
2013,0,Cross Seamount,PMUS,Coryphaenidae,NA,Mahimahi,11,9201
2013,0,Cross Seamount,PMUS,Scombridae,NA,Ono,10,2707
2013,0,Cross Seamount,PMUS,Scombridae,NA,Aku,10,12530
2013,0,Cross Seamount,PMUS,Istiophoridae,NA,Blue marlin,8,7278
2013,0,Cross Seamount,PMUS,Scombridae,NA,Tombo,7,2829
2013,0,Cross Seamount,PMUS,Bramidae,NA,Monchong,7,21553
2013,0,Cross Seamount,PMUS,Istiophoridae,NA,S.N. spearfish,7,1156
2013,0,Cross Seamount,PMUS,Istiophoridae,NA,Striped marlin,5,1766
2013,0,Cross Seamount,PMUS,Xiphiidae,NA,Swordfish,6,2886
2013,0,Cross Seamount,PMUS,Lamnidae,NA,Mako,3,723
2013,0,Cross Seamount,PMUS,Exocoetidae,NA,Walu,7,2589
2013,0,Cross Seamount,PMUS,Carcharhinidae,NA,Blue shark,3,300
2014,0,Cross Seamount,PMUS,Scombridae,NA,Yellowfin tuna,9,66792
2014,0,Cross Seamount,PMUS,Scombridae,NA,Bigeye tuna,9,418122
2014,0,Cross Seamount,PMUS,Coryphaenidae,NA,Mahimahi,8,7592
2014,0,Cross Seamount,PMUS,Scombridae,NA,Ono,5,1588
