year,rgn_id,island,mus,family,X6,species,licenses,catch
2015,3,Oahu,BMUS,Serranidae,NA,Hapuupuu,22,803
2015,3,Oahu,BMUS,Lutjanidae,NA,Gindai,16,158
2015,3,Oahu,BMUS,Carangidae,NA,Butaguchi ulua,5,48
2016,3,Oahu,BMUS,Lutjanidae,NA,Opakapaka,46,9178
2016,3,Oahu,BMUS,Lutjanidae,NA,Uku,59,7355
2016,3,Oahu,BMUS,Lutjanidae,NA,Onaga,36,3843
2016,3,Oahu,BMUS,Lutjanidae,NA,Taape,65,26832
2016,3,Oahu,BMUS,Lutjanidae,NA,Ehu,44,1974
2016,3,Oahu,BMUS,Carangidae,NA,Kahala,38,2440
2016,3,Oahu,BMUS,Lutjanidae,NA,Kalekale,25,614
2016,3,Oahu,BMUS,Carangidae,NA,White ulua,48,1918
2016,3,Oahu,BMUS,Lutjanidae,NA,Lehi,8,70
2016,3,Oahu,BMUS,Serranidae,NA,Hapuupuu,21,625
2016,3,Oahu,BMUS,Lutjanidae,NA,Gindai,22,177
2012,4,Kauai County,BMUS,Lutjanidae,NA,Opakapaka,34,2535
2012,4,Kauai County,BMUS,Lutjanidae,NA,Uku,68,30512
2012,4,Kauai County,BMUS,Lutjanidae,NA,Onaga,31,4473
2012,4,Kauai County,BMUS,Lutjanidae,NA,Taape,44,2627
2012,4,Kauai County,BMUS,Lutjanidae,NA,Ehu,51,4873
2012,4,Kauai County,BMUS,Carangidae,NA,Kahala,41,8687
2012,4,Kauai County,BMUS,Lutjanidae,NA,Kalekale,35,2311
2012,4,Kauai County,BMUS,Carangidae,NA,White ulua,26,4230
2012,4,Kauai County,BMUS,Lutjanidae,NA,Lehi,6,469
2012,4,Kauai County,BMUS,Serranidae,NA,Hapuupuu,30,1822
2012,4,Kauai County,BMUS,Lutjanidae,NA,Gindai,47,1330
2012,4,Kauai County,BMUS,Carangidae,NA,Butaguchi ulua,8,485
2012,4,Kauai County,BMUS,Carangidae,NA,Gunkan ulua,5,140
2013,4,Kauai County,BMUS,Lutjanidae,NA,Opakapaka,27,1729
2013,4,Kauai County,BMUS,Lutjanidae,NA,Uku,68,28709
2013,4,Kauai County,BMUS,Lutjanidae,NA,Onaga,27,4336
2013,4,Kauai County,BMUS,Lutjanidae,NA,Taape,38,3272
2013,4,Kauai County,BMUS,Lutjanidae,NA,Ehu,40,3195
2013,4,Kauai County,BMUS,Carangidae,NA,Kahala,29,6019
2013,4,Kauai County,BMUS,Lutjanidae,NA,Kalekale,27,1122
2013,4,Kauai County,BMUS,Carangidae,NA,White ulua,26,2778
2013,4,Kauai County,BMUS,Lutjanidae,NA,Lehi,4,133
2013,4,Kauai County,BMUS,Serranidae,NA,Hapuupuu,23,2265
2013,4,Kauai County,BMUS,Lutjanidae,NA,Gindai,30,882
2013,4,Kauai County,BMUS,Carangidae,NA,Butaguchi ulua,3,388
2013,4,Kauai County,BMUS,Carangidae,NA,Gunkan ulua,6,486
2014,4,Kauai County,BMUS,Lutjanidae,NA,Opakapaka,28,3756
2014,4,Kauai County,BMUS,Lutjanidae,NA,Uku,57,28979
2014,4,Kauai County,BMUS,Lutjanidae,NA,Onaga,28,6738
2014,4,Kauai County,BMUS,Lutjanidae,NA,Taape,30,3166
2014,4,Kauai County,BMUS,Lutjanidae,NA,Ehu,39,3567
2014,4,Kauai County,BMUS,Carangidae,NA,Kahala,34,4844
2014,4,Kauai County,BMUS,Lutjanidae,NA,Kalekale,30,1881
2014,4,Kauai County,BMUS,Carangidae,NA,White ulua,26,3053
2014,4,Kauai County,BMUS,Lutjanidae,NA,Lehi,6,198
2014,4,Kauai County,BMUS,Serranidae,NA,Hapuupuu,21,3178
2014,4,Kauai County,BMUS,Lutjanidae,NA,Gindai,30,926
2014,4,Kauai County,BMUS,Carangidae,NA,Gunkan ulua,5,216
2015,4,Kauai County,BMUS,Lutjanidae,NA,Opakapaka,22,6862
2015,4,Kauai County,BMUS,Lutjanidae,NA,Uku,57,21202
2015,4,Kauai County,BMUS,Lutjanidae,NA,Onaga,23,3762
2015,4,Kauai County,BMUS,Lutjanidae,NA,Taape,30,1560
2015,4,Kauai County,BMUS,Lutjanidae,NA,Ehu,34,3476
2015,4,Kauai County,BMUS,Carangidae,NA,Kahala,35,7125
2015,4,Kauai County,BMUS,Lutjanidae,NA,Kalekale,22,1336
2015,4,Kauai County,BMUS,Carangidae,NA,White ulua,18,2739
2015,4,Kauai County,BMUS,Lutjanidae,NA,Lehi,4,119
2015,4,Kauai County,BMUS,Serranidae,NA,Hapuupuu,24,1654
2015,4,Kauai County,BMUS,Lutjanidae,NA,Gindai,24,502
2015,4,Kauai County,BMUS,Carangidae,NA,Butaguchi ulua,4,144
2015,4,Kauai County,BMUS,Carangidae,NA,Gunkan ulua,5,143
2016,4,Kauai County,BMUS,Lutjanidae,NA,Opakapaka,19,5576
2016,4,Kauai County,BMUS,Lutjanidae,NA,Uku,52,16516
2016,4,Kauai County,BMUS,Lutjanidae,NA,Onaga,16,3571
2016,4,Kauai County,BMUS,Lutjanidae,NA,Taape,32,2919
2016,4,Kauai County,BMUS,Lutjanidae,NA,Ehu,33,4182
2016,4,Kauai County,BMUS,Carangidae,NA,Kahala,23,4623
2016,4,Kauai County,BMUS,Lutjanidae,NA,Kalekale,22,1527
2016,4,Kauai County,BMUS,Carangidae,NA,White ulua,16,1685
2016,4,Kauai County,BMUS,Lutjanidae,NA,Lehi,4,201
2016,4,Kauai County,BMUS,Serranidae,NA,Hapuupuu,17,2602
2016,4,Kauai County,BMUS,Lutjanidae,NA,Gindai,22,761
2016,4,Kauai County,BMUS,Carangidae,NA,Gunkan ulua,3,130
2012,NA,Other offshore,BMUS,Lutjanidae,NA,Opakapaka,3,1694
2012,NA,Other offshore,BMUS,Lutjanidae,NA,Uku,4,3116
2012,NA,Other offshore,BMUS,Lutjanidae,NA,Ehu,3,57
2012,NA,Other offshore,BMUS,Lutjanidae,NA,Kalekale,4,281
2012,NA,Other offshore,BMUS,Serranidae,NA,Hapuupuu,3,3186
2013,NA,Other offshore,BMUS,Lutjanidae,NA,Uku,3,1699
2014,NA,Other offshore,BMUS,Lutjanidae,NA,Opakapaka,3,2167
2014,NA,Other offshore,BMUS,Lutjanidae,NA,Uku,4,859
2014,NA,Other offshore,BMUS,Lutjanidae,NA,Kalekale,3,149
2014,NA,Other offshore,BMUS,Serranidae,NA,Hapuupuu,4,1855
2015,NA,Other offshore,BMUS,Lutjanidae,NA,Uku,3,637
2016,NA,Other offshore,BMUS,Lutjanidae,NA,Uku,4,530
2012,2,Penguin Bank,BMUS,Lutjanidae,NA,Opakapaka,65,16362
2012,2,Penguin Bank,BMUS,Lutjanidae,NA,Uku,56,48216
2012,2,Penguin Bank,BMUS,Lutjanidae,NA,Onaga,52,14795
2012,2,Penguin Bank,BMUS,Lutjanidae,NA,Taape,15,199
2012,2,Penguin Bank,BMUS,Lutjanidae,NA,Ehu,59,4956
2012,2,Penguin Bank,BMUS,Carangidae,NA,Kahala,24,1729
2012,2,Penguin Bank,BMUS,Lutjanidae,NA,Kalekale,48,2683
2012,2,Penguin Bank,BMUS,Carangidae,NA,White ulua,13,1619
2012,2,Penguin Bank,BMUS,Lutjanidae,NA,Lehi,9,200
2012,2,Penguin Bank,BMUS,Serranidae,NA,Hapuupuu,29,735
2012,2,Penguin Bank,BMUS,Lutjanidae,NA,Gindai,32,423
2013,2,Penguin Bank,BMUS,Lutjanidae,NA,Opakapaka,56,14249
2013,2,Penguin Bank,BMUS,Lutjanidae,NA,Uku,50,51553
2013,2,Penguin Bank,BMUS,Lutjanidae,NA,Onaga,54,16319
2013,2,Penguin Bank,BMUS,Lutjanidae,NA,Taape,17,193
2013,2,Penguin Bank,BMUS,Lutjanidae,NA,Ehu,56,5720
2013,2,Penguin Bank,BMUS,Carangidae,NA,Kahala,24,1071
2013,2,Penguin Bank,BMUS,Lutjanidae,NA,Kalekale,47,2398
2013,2,Penguin Bank,BMUS,Carangidae,NA,White ulua,14,1347
2013,2,Penguin Bank,BMUS,Lutjanidae,NA,Lehi,11,220
2013,2,Penguin Bank,BMUS,Serranidae,NA,Hapuupuu,15,551
2013,2,Penguin Bank,BMUS,Lutjanidae,NA,Gindai,25,416
2014,2,Penguin Bank,BMUS,Lutjanidae,NA,Opakapaka,55,22041
2014,2,Penguin Bank,BMUS,Lutjanidae,NA,Uku,52,27552
2014,2,Penguin Bank,BMUS,Lutjanidae,NA,Onaga,39,15058
2014,2,Penguin Bank,BMUS,Lutjanidae,NA,Taape,17,172
2014,2,Penguin Bank,BMUS,Lutjanidae,NA,Ehu,48,4503
2014,2,Penguin Bank,BMUS,Carangidae,NA,Kahala,21,1297
2014,2,Penguin Bank,BMUS,Lutjanidae,NA,Kalekale,37,3134
2014,2,Penguin Bank,BMUS,Carangidae,NA,White ulua,14,931
2014,2,Penguin Bank,BMUS,Lutjanidae,NA,Lehi,12,295
2014,2,Penguin Bank,BMUS,Serranidae,NA,Hapuupuu,14,419
2014,2,Penguin Bank,BMUS,Lutjanidae,NA,Gindai,23,324
2014,2,Penguin Bank,BMUS,Carangidae,NA,Butaguchi ulua,3,62
2015,2,Penguin Bank,BMUS,Lutjanidae,NA,Opakapaka,43,12472
2015,2,Penguin Bank,BMUS,Lutjanidae,NA,Uku,52,34008
2015,2,Penguin Bank,BMUS,Lutjanidae,NA,Onaga,32,10861
2015,2,Penguin Bank,BMUS,Lutjanidae,NA,Taape,11,199
2015,2,Penguin Bank,BMUS,Lutjanidae,NA,Ehu,45,3435
2015,2,Penguin Bank,BMUS,Carangidae,NA,Kahala,18,1804
2015,2,Penguin Bank,BMUS,Lutjanidae,NA,Kalekale,30,2496
2015,2,Penguin Bank,BMUS,Carangidae,NA,White ulua,11,415
2015,2,Penguin Bank,BMUS,Lutjanidae,NA,Lehi,8,129
2015,2,Penguin Bank,BMUS,Serranidae,NA,Hapuupuu,12,229
2015,2,Penguin Bank,BMUS,Lutjanidae,NA,Gindai,26,213
2016,2,Penguin Bank,BMUS,Lutjanidae,NA,Opakapaka,58,16274
2016,2,Penguin Bank,BMUS,Lutjanidae,NA,Uku,47,42752
2016,2,Penguin Bank,BMUS,Lutjanidae,NA,Onaga,36,8854
2016,2,Penguin Bank,BMUS,Lutjanidae,NA,Taape,11,296
2016,2,Penguin Bank,BMUS,Lutjanidae,NA,Ehu,40,4176
2016,2,Penguin Bank,BMUS,Carangidae,NA,Kahala,21,2559
2016,2,Penguin Bank,BMUS,Lutjanidae,NA,Kalekale,32,2097
2016,2,Penguin Bank,BMUS,Carangidae,NA,White ulua,10,452
2016,2,Penguin Bank,BMUS,Lutjanidae,NA,Lehi,12,429
2016,2,Penguin Bank,BMUS,Serranidae,NA,Hapuupuu,19,546
2016,2,Penguin Bank,BMUS,Lutjanidae,NA,Gindai,22,295
