year,rgn_id,island,mus,family,X6,species,licenses,catch
2012,1,Hawaii,BMUS,Lutjanidae,NA,Opakapaka,123,20533
2012,1,Hawaii,BMUS,Lutjanidae,NA,Uku,119,9518
2012,1,Hawaii,BMUS,Lutjanidae,NA,Onaga,63,6799
2012,1,Hawaii,BMUS,Lutjanidae,NA,Taape,99,8060
2012,1,Hawaii,BMUS,Lutjanidae,NA,Ehu,97,7838
2012,1,Hawaii,BMUS,Carangidae,NA,Kahala,35,1322
2012,1,Hawaii,BMUS,Lutjanidae,NA,Kalekale,80,3479
2012,1,Hawaii,BMUS,Carangidae,NA,White ulua,26,2138
2012,1,Hawaii,BMUS,Lutjanidae,NA,Lehi,83,5494
2012,1,Hawaii,BMUS,Serranidae,NA,Hapuupuu,54,2749
2012,1,Hawaii,BMUS,Lutjanidae,NA,Gindai,72,1671
2012,1,Hawaii,BMUS,Carangidae,NA,Gunkan ulua,3,60
2013,1,Hawaii,BMUS,Lutjanidae,NA,Opakapaka,123,26819
2013,1,Hawaii,BMUS,Lutjanidae,NA,Uku,125,11998
2013,1,Hawaii,BMUS,Lutjanidae,NA,Onaga,71,10435
2013,1,Hawaii,BMUS,Lutjanidae,NA,Taape,96,4882
2013,1,Hawaii,BMUS,Lutjanidae,NA,Ehu,93,11963
2013,1,Hawaii,BMUS,Carangidae,NA,Kahala,34,2077
2013,1,Hawaii,BMUS,Lutjanidae,NA,Kalekale,85,6933
2013,1,Hawaii,BMUS,Carangidae,NA,White ulua,23,1130
2013,1,Hawaii,BMUS,Lutjanidae,NA,Lehi,71,9888
2013,1,Hawaii,BMUS,Serranidae,NA,Hapuupuu,58,3363
2013,1,Hawaii,BMUS,Lutjanidae,NA,Gindai,73,2035
2013,1,Hawaii,BMUS,Carangidae,NA,Butaguchi ulua,3,27
2013,1,Hawaii,BMUS,Carangidae,NA,Gunkan ulua,5,132
2013,1,Hawaii,BMUS,Berycidae,NA,Alfonsin,5,54
2014,1,Hawaii,BMUS,Lutjanidae,NA,Opakapaka,126,32921
2014,1,Hawaii,BMUS,Lutjanidae,NA,Uku,115,13894
2014,1,Hawaii,BMUS,Lutjanidae,NA,Onaga,70,9860
2014,1,Hawaii,BMUS,Lutjanidae,NA,Taape,80,3490
2014,1,Hawaii,BMUS,Lutjanidae,NA,Ehu,96,7959
2014,1,Hawaii,BMUS,Carangidae,NA,Kahala,26,1152
2014,1,Hawaii,BMUS,Lutjanidae,NA,Kalekale,89,7165
2014,1,Hawaii,BMUS,Carangidae,NA,White ulua,13,929
2014,1,Hawaii,BMUS,Lutjanidae,NA,Lehi,72,4718
2014,1,Hawaii,BMUS,Serranidae,NA,Hapuupuu,49,2050
2014,1,Hawaii,BMUS,Lutjanidae,NA,Gindai,61,1505
2014,1,Hawaii,BMUS,Berycidae,NA,Alfonsin,4,16
2015,1,Hawaii,BMUS,Lutjanidae,NA,Opakapaka,115,28686
2015,1,Hawaii,BMUS,Lutjanidae,NA,Uku,133,16984
2015,1,Hawaii,BMUS,Lutjanidae,NA,Onaga,66,6748
2015,1,Hawaii,BMUS,Lutjanidae,NA,Taape,73,3107
2015,1,Hawaii,BMUS,Lutjanidae,NA,Ehu,74,11090
2015,1,Hawaii,BMUS,Carangidae,NA,Kahala,21,2554
2015,1,Hawaii,BMUS,Lutjanidae,NA,Kalekale,80,5749
2015,1,Hawaii,BMUS,Carangidae,NA,White ulua,22,941
2015,1,Hawaii,BMUS,Lutjanidae,NA,Lehi,79,5716
2015,1,Hawaii,BMUS,Serranidae,NA,Hapuupuu,39,2623
2015,1,Hawaii,BMUS,Lutjanidae,NA,Gindai,49,1229
2016,1,Hawaii,BMUS,Lutjanidae,NA,Opakapaka,113,36125
2016,1,Hawaii,BMUS,Lutjanidae,NA,Uku,137,19236
2016,1,Hawaii,BMUS,Lutjanidae,NA,Onaga,61,12121
2016,1,Hawaii,BMUS,Lutjanidae,NA,Taape,68,3610
2016,1,Hawaii,BMUS,Lutjanidae,NA,Ehu,74,6124
2016,1,Hawaii,BMUS,Carangidae,NA,Kahala,27,7207
2016,1,Hawaii,BMUS,Lutjanidae,NA,Kalekale,71,4502
2016,1,Hawaii,BMUS,Carangidae,NA,White ulua,17,1325
2016,1,Hawaii,BMUS,Lutjanidae,NA,Lehi,76,6073
2016,1,Hawaii,BMUS,Serranidae,NA,Hapuupuu,45,2452
2016,1,Hawaii,BMUS,Lutjanidae,NA,Gindai,58,841
2016,1,Hawaii,BMUS,Carangidae,NA,Gunkan ulua,3,140
2012,2,Maui County,BMUS,Lutjanidae,NA,Opakapaka,106,62535
2012,2,Maui County,BMUS,Lutjanidae,NA,Uku,107,17523
2012,2,Maui County,BMUS,Lutjanidae,NA,Onaga,83,31209
2012,2,Maui County,BMUS,Lutjanidae,NA,Taape,62,10386
2012,2,Maui County,BMUS,Lutjanidae,NA,Ehu,83,8582
2012,2,Maui County,BMUS,Carangidae,NA,Kahala,25,1955
2012,2,Maui County,BMUS,Lutjanidae,NA,Kalekale,51,4279
2012,2,Maui County,BMUS,Carangidae,NA,White ulua,40,4603
2012,2,Maui County,BMUS,Lutjanidae,NA,Lehi,24,3760
2012,2,Maui County,BMUS,Serranidae,NA,Hapuupuu,42,1759
2012,2,Maui County,BMUS,Lutjanidae,NA,Gindai,29,218
2012,2,Maui County,BMUS,Carangidae,NA,Butaguchi ulua,6,80
2012,2,Maui County,BMUS,Carangidae,NA,Gunkan ulua,3,88
2013,2,Maui County,BMUS,Lutjanidae,NA,Opakapaka,100,71081
2013,2,Maui County,BMUS,Lutjanidae,NA,Uku,92,19904
2013,2,Maui County,BMUS,Lutjanidae,NA,Onaga,76,38339
2013,2,Maui County,BMUS,Lutjanidae,NA,Taape,46,8063
2013,2,Maui County,BMUS,Lutjanidae,NA,Ehu,78,10180
2013,2,Maui County,BMUS,Carangidae,NA,Kahala,27,1229
2013,2,Maui County,BMUS,Lutjanidae,NA,Kalekale,58,3846
2013,2,Maui County,BMUS,Carangidae,NA,White ulua,46,3475
2013,2,Maui County,BMUS,Lutjanidae,NA,Lehi,26,2962
2013,2,Maui County,BMUS,Serranidae,NA,Hapuupuu,42,2542
2013,2,Maui County,BMUS,Lutjanidae,NA,Gindai,23,212
2013,2,Maui County,BMUS,Carangidae,NA,Butaguchi ulua,4,44
2014,2,Maui County,BMUS,Lutjanidae,NA,Opakapaka,103,86585
2014,2,Maui County,BMUS,Lutjanidae,NA,Uku,90,18340
2014,2,Maui County,BMUS,Lutjanidae,NA,Onaga,79,42864
2014,2,Maui County,BMUS,Lutjanidae,NA,Taape,51,6534
2014,2,Maui County,BMUS,Lutjanidae,NA,Ehu,78,11005
2014,2,Maui County,BMUS,Carangidae,NA,Kahala,17,823
2014,2,Maui County,BMUS,Lutjanidae,NA,Kalekale,56,5382
2014,2,Maui County,BMUS,Carangidae,NA,White ulua,39,3341
2014,2,Maui County,BMUS,Lutjanidae,NA,Lehi,38,3067
2014,2,Maui County,BMUS,Serranidae,NA,Hapuupuu,45,1988
2014,2,Maui County,BMUS,Lutjanidae,NA,Gindai,21,224
2014,2,Maui County,BMUS,Carangidae,NA,Gunkan ulua,3,100
2015,2,Maui County,BMUS,Lutjanidae,NA,Opakapaka,92,69638
2015,2,Maui County,BMUS,Lutjanidae,NA,Uku,95,20737
2015,2,Maui County,BMUS,Lutjanidae,NA,Onaga,57,25363
2015,2,Maui County,BMUS,Lutjanidae,NA,Taape,42,1608
2015,2,Maui County,BMUS,Lutjanidae,NA,Ehu,66,11156
2015,2,Maui County,BMUS,Carangidae,NA,Kahala,24,893
2015,2,Maui County,BMUS,Lutjanidae,NA,Kalekale,49,3243
2015,2,Maui County,BMUS,Carangidae,NA,White ulua,37,2315
2015,2,Maui County,BMUS,Lutjanidae,NA,Lehi,30,5157
2015,2,Maui County,BMUS,Serranidae,NA,Hapuupuu,38,2720
2015,2,Maui County,BMUS,Lutjanidae,NA,Gindai,27,214
2016,2,Maui County,BMUS,Lutjanidae,NA,Opakapaka,83,61500
2016,2,Maui County,BMUS,Lutjanidae,NA,Uku,91,31351
2016,2,Maui County,BMUS,Lutjanidae,NA,Onaga,61,18043
2016,2,Maui County,BMUS,Lutjanidae,NA,Taape,40,1188
2016,2,Maui County,BMUS,Lutjanidae,NA,Ehu,67,14205
2016,2,Maui County,BMUS,Carangidae,NA,Kahala,17,904
2016,2,Maui County,BMUS,Lutjanidae,NA,Kalekale,36,2227
2016,2,Maui County,BMUS,Carangidae,NA,White ulua,40,2764
2016,2,Maui County,BMUS,Lutjanidae,NA,Lehi,22,1861
2016,2,Maui County,BMUS,Serranidae,NA,Hapuupuu,34,1904
2016,2,Maui County,BMUS,Lutjanidae,NA,Gindai,15,119
2016,2,Maui County,BMUS,Carangidae,NA,Butaguchi ulua,3,105
2012,3,Oahu,BMUS,Lutjanidae,NA,Opakapaka,50,5630
2012,3,Oahu,BMUS,Lutjanidae,NA,Uku,75,7908
2012,3,Oahu,BMUS,Lutjanidae,NA,Onaga,46,3148
2012,3,Oahu,BMUS,Lutjanidae,NA,Taape,85,11731
2012,3,Oahu,BMUS,Lutjanidae,NA,Ehu,50,1688
2012,3,Oahu,BMUS,Carangidae,NA,Kahala,36,3901
2012,3,Oahu,BMUS,Lutjanidae,NA,Kalekale,24,305
2012,3,Oahu,BMUS,Carangidae,NA,White ulua,76,7980
2012,3,Oahu,BMUS,Lutjanidae,NA,Lehi,4,78
2012,3,Oahu,BMUS,Serranidae,NA,Hapuupuu,19,500
2012,3,Oahu,BMUS,Lutjanidae,NA,Gindai,24,153
2012,3,Oahu,BMUS,Carangidae,NA,Gunkan ulua,6,194
2013,3,Oahu,BMUS,Lutjanidae,NA,Opakapaka,50,9003
2013,3,Oahu,BMUS,Lutjanidae,NA,Uku,76,6848
2013,3,Oahu,BMUS,Lutjanidae,NA,Onaga,40,3429
2013,3,Oahu,BMUS,Lutjanidae,NA,Taape,75,16488
2013,3,Oahu,BMUS,Lutjanidae,NA,Ehu,46,1239
2013,3,Oahu,BMUS,Carangidae,NA,Kahala,36,2798
2013,3,Oahu,BMUS,Lutjanidae,NA,Kalekale,28,406
2013,3,Oahu,BMUS,Carangidae,NA,White ulua,66,5749
2013,3,Oahu,BMUS,Lutjanidae,NA,Lehi,8,116
2013,3,Oahu,BMUS,Serranidae,NA,Hapuupuu,24,398
2013,3,Oahu,BMUS,Lutjanidae,NA,Gindai,19,103
2014,3,Oahu,BMUS,Lutjanidae,NA,Opakapaka,47,17850
2014,3,Oahu,BMUS,Lutjanidae,NA,Uku,88,7204
2014,3,Oahu,BMUS,Lutjanidae,NA,Onaga,42,4758
2014,3,Oahu,BMUS,Lutjanidae,NA,Taape,90,16895
2014,3,Oahu,BMUS,Lutjanidae,NA,Ehu,40,1520
2014,3,Oahu,BMUS,Carangidae,NA,Kahala,36,4912
2014,3,Oahu,BMUS,Lutjanidae,NA,Kalekale,26,848
2014,3,Oahu,BMUS,Carangidae,NA,White ulua,53,3725
2014,3,Oahu,BMUS,Lutjanidae,NA,Lehi,7,265
2014,3,Oahu,BMUS,Serranidae,NA,Hapuupuu,21,450
2014,3,Oahu,BMUS,Lutjanidae,NA,Gindai,18,73
2014,3,Oahu,BMUS,Carangidae,NA,Butaguchi ulua,4,148
2015,3,Oahu,BMUS,Lutjanidae,NA,Opakapaka,44,11109
2015,3,Oahu,BMUS,Lutjanidae,NA,Uku,98,8370
2015,3,Oahu,BMUS,Lutjanidae,NA,Onaga,36,3424
2015,3,Oahu,BMUS,Lutjanidae,NA,Taape,77,19387
2015,3,Oahu,BMUS,Lutjanidae,NA,Ehu,44,2204
2015,3,Oahu,BMUS,Carangidae,NA,Kahala,42,4182
2015,3,Oahu,BMUS,Lutjanidae,NA,Kalekale,29,890
2015,3,Oahu,BMUS,Carangidae,NA,White ulua,57,4304
2015,3,Oahu,BMUS,Lutjanidae,NA,Lehi,3,40
