rgn_id,economic loss (bil),eco_pressure,reference
1,0.43,0.234258142,"Hawaii GDP, http://dbedt.hawaii.gov/blog/16-48/"
2,3.49,0.234258142,"Hawaii GDP, http://dbedt.hawaii.gov/blog/16-48/"
3,12.9,0.234258142,"Hawaii GDP, http://dbedt.hawaii.gov/blog/16-48/"
4,2.6,0.234258142,"Hawaii GDP, http://dbedt.hawaii.gov/blog/16-48/"
